flowId,timestamp,totalData,totalPackets
1,0.0,0.0,0
2,0.0,0.0,0
3,0.0,0.0,0
4,0.0,0.0,0
5,0.0,0.0,0
6,0.0,0.0,0
7,0.0,0.0,0
8,0.0,0.0,0
9,0.0,0.0,0
10,0.0,0.0,0
11,0.0,0.0,0
12,0.0,0.0,0
13,0.0,0.0,0
14,0.0,0.0,0
15,0.0,0.0,0
17,0.0,0.0,0
16,0.0,0.0,0
19,0.0,0.0,0
18,0.0,0.0,0
20,0.0,0.0,0
1,0.02,22000.0,22
2,0.02,45000.0,45
3,0.02,70000.0,70
4,0.02,101000.0,101
5,0.02,108000.0,108
6,0.02,134000.0,134
7,0.02,131000.0,131
8,0.02,156000.0,156
9,0.02,196000.0,196
10,0.02,194000.0,194
11,0.02,230000.0,230
12,0.02,230000.0,230
13,0.02,230000.0,230
14,0.02,230000.0,230
15,0.02,230000.0,230
17,0.02,231000.0,231
16,0.02,230000.0,230
19,0.02,231000.0,231
18,0.02,230000.0,230
20,0.02,231000.0,231
1,0.04,47000.0,47
2,0.04,88000.0,88
3,0.04,130000.0,130
4,0.04,168000.0,168
5,0.04,207000.0,207
6,0.04,270000.0,270
7,0.04,279000.0,279
8,0.04,337000.0,337
9,0.04,373000.0,373
10,0.04,413000.0,413
11,0.04,461000.0,461
12,0.04,461000.0,461
13,0.04,461000.0,461
14,0.04,460000.0,460
15,0.04,461000.0,461
17,0.04,461000.0,461
16,0.04,461000.0,461
19,0.04,460000.0,460
18,0.04,461000.0,461
20,0.04,461000.0,461
1,0.06,67000.0,67
2,0.06,129000.0,129
3,0.06,181000.0,181
4,0.06,255000.0,255
5,0.06,328000.0,328
6,0.06,396000.0,396
7,0.06,429000.0,429
8,0.06,524000.0,524
9,0.06,561000.0,561
10,0.06,609000.0,609
11,0.06,690000.0,690
12,0.06,690000.0,690
13,0.06,690000.0,690
14,0.06,690000.0,690
15,0.06,690000.0,690
17,0.06,690000.0,690
16,0.06,690000.0,690
19,0.06,690000.0,690
18,0.06,690000.0,690
20,0.06,690000.0,690
1,0.08,82000.0,82
2,0.08,174000.0,174
3,0.08,252000.0,252
4,0.08,363000.0,363
5,0.08,431000.0,431
6,0.08,517000.0,517
7,0.08,565000.0,565
8,0.08,695000.0,695
9,0.08,720000.0,720
10,0.08,839000.0,839
11,0.08,920000.0,920
12,0.08,920000.0,920
13,0.08,920000.0,920
14,0.08,920000.0,920
15,0.08,921000.0,921
17,0.08,920000.0,920
16,0.08,919000.0,919
19,0.08,920000.0,920
18,0.08,920000.0,920
20,0.08,920000.0,920
1,0.1,103000.0,103
2,0.1,219000.0,219
3,0.1,317000.0,317
4,0.1,457000.0,457
5,0.1,544000.0,544
6,0.1,633000.0,633
7,0.1,696000.0,696
8,0.1,864000.0,864
9,0.1,903000.0,903
10,0.1,1013000.0,1013
11,0.1,1155000.0,1155
12,0.1,1155000.0,1155
13,0.1,1155000.0,1155
14,0.1,1156000.0,1156
15,0.1,1155000.0,1155
17,0.1,1155000.0,1155
16,0.1,1154000.0,1154
19,0.1,1154000.0,1154
18,0.1,1155000.0,1155
20,0.1,1154000.0,1154
1,0.12000000000000001,121000.0,121
2,0.12000000000000001,254000.0,254
3,0.12000000000000001,376000.0,376
4,0.12000000000000001,546000.0,546
5,0.12000000000000001,653000.0,653
6,0.12000000000000001,783000.0,783
7,0.12000000000000001,846000.0,846
8,0.12000000000000001,1031000.0,1031
9,0.12000000000000001,1089000.0,1089
10,0.12000000000000001,1225000.0,1225
11,0.12000000000000001,1384000.0,1384
12,0.12000000000000001,1383000.0,1383
13,0.12000000000000001,1383000.0,1383
14,0.12000000000000001,1383000.0,1383
15,0.12000000000000001,1383000.0,1383
17,0.12000000000000001,1384000.0,1384
16,0.12000000000000001,1383000.0,1383
19,0.12000000000000001,1383000.0,1383
18,0.12000000000000001,1383000.0,1383
20,0.12000000000000001,1384000.0,1384
1,0.14,153000.0,153
2,0.14,301000.0,301
3,0.14,435000.0,435
4,0.14,653000.0,653
5,0.14,774000.0,774
6,0.14,882000.0,882
7,0.14,987000.0,987
8,0.14,1222000.0,1222
9,0.14,1284000.0,1284
10,0.14,1437000.0,1437
11,0.14,1609000.0,1609
12,0.14,1609000.0,1609
13,0.14,1609000.0,1609
14,0.14,1609000.0,1609
15,0.14,1609000.0,1609
17,0.14,1608000.0,1608
16,0.14,1609000.0,1609
19,0.14,1609000.0,1609
18,0.14,1608000.0,1608
20,0.14,1609000.0,1609
1,0.16,170000.0,170
2,0.16,346000.0,346
3,0.16,514000.0,514
4,0.16,740000.0,740
5,0.16,881000.0,881
6,0.16,1009000.0,1009
7,0.16,1120000.0,1120
8,0.16,1391000.0,1391
9,0.16,1467000.0,1467
10,0.16,1665000.0,1665
11,0.16,1837000.0,1837
12,0.16,1837000.0,1837
13,0.16,1838000.0,1838
14,0.16,1837000.0,1837
15,0.16,1837000.0,1837
17,0.16,1837000.0,1837
16,0.16,1837000.0,1837
19,0.16,1838000.0,1838
18,0.16,1837000.0,1837
20,0.16,1837000.0,1837
1,0.18,192000.0,192
2,0.18,395000.0,395
3,0.18,576000.0,576
4,0.18,816000.0,816
5,0.18,967000.0,967
6,0.18,1127000.0,1127
7,0.18,1280000.0,1280
8,0.18,1580000.0,1580
9,0.18,1646000.0,1646
10,0.18,1861000.0,1861
11,0.18,2069000.0,2069
12,0.18,2069000.0,2069
13,0.18,2069000.0,2069
14,0.18,2069000.0,2069
15,0.18,2070000.0,2070
17,0.18,2070000.0,2070
16,0.18,2069000.0,2069
19,0.18,2069000.0,2069
18,0.18,2070000.0,2070
20,0.18,2070000.0,2070
1,0.19999999999999998,208000.0,208
2,0.19999999999999998,443000.0,443
3,0.19999999999999998,625000.0,625
4,0.19999999999999998,908000.0,908
5,0.19999999999999998,1048000.0,1048
6,0.19999999999999998,1250000.0,1250
7,0.19999999999999998,1423000.0,1423
8,0.19999999999999998,1729000.0,1729
9,0.19999999999999998,1846000.0,1846
10,0.19999999999999998,2051000.0,2051
11,0.19999999999999998,2306000.0,2306
12,0.19999999999999998,2306000.0,2306
13,0.19999999999999998,2306000.0,2306
14,0.19999999999999998,2306000.0,2306
15,0.19999999999999998,2307000.0,2307
17,0.19999999999999998,2307000.0,2307
16,0.19999999999999998,2306000.0,2306
19,0.19999999999999998,2306000.0,2306
18,0.19999999999999998,2306000.0,2306
20,0.19999999999999998,2306000.0,2306
1,0.21999999999999997,227000.0,227
2,0.21999999999999997,483000.0,483
3,0.21999999999999997,686000.0,686
4,0.21999999999999997,994000.0,994
5,0.21999999999999997,1146000.0,1146
6,0.21999999999999997,1364000.0,1364
7,0.21999999999999997,1592000.0,1592
8,0.21999999999999997,1878000.0,1878
9,0.21999999999999997,2026000.0,2026
10,0.21999999999999997,2272000.0,2272
11,0.21999999999999997,2539000.0,2539
12,0.21999999999999997,2539000.0,2539
13,0.21999999999999997,2538000.0,2538
14,0.21999999999999997,2539000.0,2539
15,0.21999999999999997,2538000.0,2538
17,0.21999999999999997,2538000.0,2538
16,0.21999999999999997,2539000.0,2539
19,0.21999999999999997,2539000.0,2539
18,0.21999999999999997,2538000.0,2538
20,0.21999999999999997,2538000.0,2538
1,0.23999999999999996,250000.0,250
2,0.23999999999999996,534000.0,534
3,0.23999999999999996,745000.0,745
4,0.23999999999999996,1091000.0,1091
5,0.23999999999999996,1232000.0,1232
6,0.23999999999999996,1495000.0,1495
7,0.23999999999999996,1742000.0,1742
8,0.23999999999999996,2058000.0,2058
9,0.23999999999999996,2208000.0,2208
10,0.23999999999999996,2466000.0,2466
11,0.23999999999999996,2769000.0,2769
12,0.23999999999999996,2770000.0,2770
13,0.23999999999999996,2769000.0,2769
14,0.23999999999999996,2769000.0,2769
15,0.23999999999999996,2769000.0,2769
17,0.23999999999999996,2769000.0,2769
16,0.23999999999999996,2769000.0,2769
19,0.23999999999999996,2769000.0,2769
18,0.23999999999999996,2769000.0,2769
20,0.23999999999999996,2769000.0,2769
1,0.25999999999999995,273000.0,273
2,0.25999999999999995,582000.0,582
3,0.25999999999999995,801000.0,801
4,0.25999999999999995,1172000.0,1172
5,0.25999999999999995,1356000.0,1356
6,0.25999999999999995,1623000.0,1623
7,0.25999999999999995,1881000.0,1881
8,0.25999999999999995,2192000.0,2192
9,0.25999999999999995,2401000.0,2401
10,0.25999999999999995,2644000.0,2644
11,0.25999999999999995,3005000.0,3005
12,0.25999999999999995,3006000.0,3006
13,0.25999999999999995,3005000.0,3005
14,0.25999999999999995,3005000.0,3005
15,0.25999999999999995,3004000.0,3004
17,0.25999999999999995,3004000.0,3004
16,0.25999999999999995,3004000.0,3004
19,0.25999999999999995,3004000.0,3004
18,0.25999999999999995,3005000.0,3005
20,0.25999999999999995,3004000.0,3004
1,0.27999999999999997,302000.0,302
2,0.27999999999999997,628000.0,628
3,0.27999999999999997,858000.0,858
4,0.27999999999999997,1260000.0,1260
5,0.27999999999999997,1446000.0,1446
6,0.27999999999999997,1761000.0,1761
7,0.27999999999999997,2025000.0,2025
8,0.27999999999999997,2361000.0,2361
9,0.27999999999999997,2576000.0,2576
10,0.27999999999999997,2833000.0,2833
11,0.27999999999999997,3238000.0,3238
12,0.27999999999999997,3238000.0,3238
13,0.27999999999999997,3238000.0,3238
14,0.27999999999999997,3238000.0,3238
15,0.27999999999999997,3238000.0,3238
17,0.27999999999999997,3238000.0,3238
16,0.27999999999999997,3238000.0,3238
19,0.27999999999999997,3238000.0,3238
18,0.27999999999999997,3238000.0,3238
20,0.27999999999999997,3238000.0,3238
1,0.3,332000.0,332
2,0.3,661000.0,661
3,0.3,925000.0,925
4,0.3,1367000.0,1367
5,0.3,1553000.0,1553
6,0.3,1898000.0,1898
7,0.3,2176000.0,2176
8,0.3,2518000.0,2518
9,0.3,2758000.0,2758
10,0.3,3052000.0,3052
11,0.3,3465000.0,3465
12,0.3,3465000.0,3465
13,0.3,3465000.0,3465
14,0.3,3465000.0,3465
15,0.3,3465000.0,3465
17,0.3,3466000.0,3466
16,0.3,3465000.0,3465
19,0.3,3464000.0,3464
18,0.3,3465000.0,3465
20,0.3,3465000.0,3465
1,0.32,356000.0,356
2,0.32,698000.0,698
3,0.32,988000.0,988
4,0.32,1462000.0,1462
5,0.32,1649000.0,1649
6,0.32,2038000.0,2038
7,0.32,2344000.0,2344
8,0.32,2694000.0,2694
9,0.32,2949000.0,2949
10,0.32,3277000.0,3277
11,0.32,3689000.0,3689
12,0.32,3689000.0,3689
13,0.32,3690000.0,3690
14,0.32,3689000.0,3689
15,0.32,3690000.0,3690
17,0.32,3689000.0,3689
16,0.32,3689000.0,3689
19,0.32,3689000.0,3689
18,0.32,3690000.0,3690
20,0.32,3690000.0,3690
1,0.34,388000.0,388
2,0.34,748000.0,748
3,0.34,1070000.0,1070
4,0.34,1537000.0,1537
5,0.34,1748000.0,1748
6,0.34,2163000.0,2163
7,0.34,2501000.0,2501
8,0.34,2860000.0,2860
9,0.34,3130000.0,3130
10,0.34,3503000.0,3503
11,0.34,3916000.0,3916
12,0.34,3916000.0,3916
13,0.34,3916000.0,3916
14,0.34,3916000.0,3916
15,0.34,3916000.0,3916
17,0.34,3916000.0,3916
16,0.34,3916000.0,3916
19,0.34,3916000.0,3916
18,0.34,3916000.0,3916
20,0.34,3916000.0,3916
1,0.36000000000000004,406000.0,406
2,0.36000000000000004,789000.0,789
3,0.36000000000000004,1129000.0,1129
4,0.36000000000000004,1623000.0,1623
5,0.36000000000000004,1840000.0,1840
6,0.36000000000000004,2273000.0,2273
7,0.36000000000000004,2659000.0,2659
8,0.36000000000000004,3036000.0,3036
9,0.36000000000000004,3304000.0,3304
10,0.36000000000000004,3735000.0,3735
11,0.36000000000000004,4147000.0,4147
12,0.36000000000000004,4147000.0,4147
13,0.36000000000000004,4148000.0,4148
14,0.36000000000000004,4147000.0,4147
15,0.36000000000000004,4147000.0,4147
17,0.36000000000000004,4147000.0,4147
16,0.36000000000000004,4148000.0,4148
19,0.36000000000000004,4147000.0,4147
18,0.36000000000000004,4147000.0,4147
20,0.36000000000000004,4148000.0,4148
1,0.38000000000000006,428000.0,428
2,0.38000000000000006,825000.0,825
3,0.38000000000000006,1197000.0,1197
4,0.38000000000000006,1708000.0,1708
5,0.38000000000000006,1944000.0,1944
6,0.38000000000000006,2396000.0,2396
7,0.38000000000000006,2812000.0,2812
8,0.38000000000000006,3222000.0,3222
9,0.38000000000000006,3506000.0,3506
10,0.38000000000000006,3960000.0,3960
11,0.38000000000000006,4373000.0,4373
12,0.38000000000000006,4373000.0,4373
13,0.38000000000000006,4373000.0,4373
14,0.38000000000000006,4373000.0,4373
15,0.38000000000000006,4373000.0,4373
17,0.38000000000000006,4373000.0,4373
16,0.38000000000000006,4372000.0,4372
19,0.38000000000000006,4372000.0,4372
18,0.38000000000000006,4373000.0,4373
20,0.38000000000000006,4373000.0,4373
1,0.4000000000000001,454000.0,454
2,0.4000000000000001,864000.0,864
3,0.4000000000000001,1266000.0,1266
4,0.4000000000000001,1790000.0,1790
5,0.4000000000000001,2056000.0,2056
6,0.4000000000000001,2527000.0,2527
7,0.4000000000000001,2966000.0,2966
8,0.4000000000000001,3396000.0,3396
9,0.4000000000000001,3686000.0,3686
10,0.4000000000000001,4184000.0,4184
11,0.4000000000000001,4600000.0,4600
12,0.4000000000000001,4600000.0,4600
13,0.4000000000000001,4600000.0,4600
14,0.4000000000000001,4600000.0,4600
15,0.4000000000000001,4600000.0,4600
17,0.4000000000000001,4599000.0,4599
16,0.4000000000000001,4599000.0,4599
19,0.4000000000000001,4600000.0,4600
18,0.4000000000000001,4600000.0,4600
20,0.4000000000000001,4599000.0,4599
1,0.4200000000000001,475000.0,475
2,0.4200000000000001,905000.0,905
3,0.4200000000000001,1313000.0,1313
4,0.4200000000000001,1863000.0,1863
5,0.4200000000000001,2149000.0,2149
6,0.4200000000000001,2647000.0,2647
7,0.4200000000000001,3097000.0,3097
8,0.4200000000000001,3573000.0,3573
9,0.4200000000000001,3890000.0,3890
10,0.4200000000000001,4416000.0,4416
11,0.4200000000000001,4832000.0,4832
12,0.4200000000000001,4832000.0,4832
13,0.4200000000000001,4832000.0,4832
14,0.4200000000000001,4832000.0,4832
15,0.4200000000000001,4832000.0,4832
17,0.4200000000000001,4831000.0,4831
16,0.4200000000000001,4831000.0,4831
19,0.4200000000000001,4832000.0,4832
18,0.4200000000000001,4831000.0,4831
20,0.4200000000000001,4832000.0,4832
1,0.4400000000000001,493000.0,493
2,0.4400000000000001,947000.0,947
3,0.4400000000000001,1375000.0,1375
