flowId,timestamp,totalData,totalPackets
1,0.0,0.0,0
2,0.0,0.0,0
3,0.0,0.0,0
4,0.0,0.0,0
5,0.0,0.0,0
6,0.0,0.0,0
7,0.0,0.0,0
8,0.0,0.0,0
9,0.0,0.0,0
10,0.0,0.0,0
11,0.0,0.0,0
12,0.0,0.0,0
13,0.0,0.0,0
14,0.0,0.0,0
15,0.0,0.0,0
17,0.0,0.0,0
16,0.0,0.0,0
19,0.0,0.0,0
18,0.0,0.0,0
20,0.0,0.0,0
1,0.02,9000.0,9
2,0.02,21000.0,21
3,0.02,35000.0,35
4,0.02,48000.0,48
5,0.02,61000.0,61
6,0.02,68000.0,68
7,0.02,62000.0,62
8,0.02,72000.0,72
9,0.02,93000.0,93
10,0.02,90000.0,90
11,0.02,288000.0,288
12,0.02,288000.0,288
13,0.02,288000.0,288
14,0.02,288000.0,288
15,0.02,288000.0,288
17,0.02,288000.0,288
16,0.02,288000.0,288
19,0.02,288000.0,288
18,0.02,288000.0,288
20,0.02,288000.0,288
1,0.04,22000.0,22
2,0.04,45000.0,45
3,0.04,67000.0,67
4,0.04,101000.0,101
5,0.04,107000.0,107
6,0.04,134000.0,134
7,0.04,131000.0,131
8,0.04,160000.0,160
9,0.04,197000.0,197
10,0.04,194000.0,194
11,0.04,576000.0,576
12,0.04,576000.0,576
13,0.04,576000.0,576
14,0.04,576000.0,576
15,0.04,576000.0,576
17,0.04,576000.0,576
16,0.04,576000.0,576
19,0.04,576000.0,576
18,0.04,576000.0,576
20,0.04,576000.0,576
1,0.06,36000.0,36
2,0.06,65000.0,65
3,0.06,103000.0,103
4,0.06,139000.0,139
5,0.06,158000.0,158
6,0.06,211000.0,211
7,0.06,206000.0,206
8,0.06,252000.0,252
9,0.06,289000.0,289
10,0.06,305000.0,305
11,0.06,865000.0,865
12,0.06,865000.0,865
13,0.06,865000.0,865
14,0.06,865000.0,865
15,0.06,865000.0,865
17,0.06,865000.0,865
16,0.06,865000.0,865
19,0.06,865000.0,865
18,0.06,865000.0,865
20,0.06,865000.0,865
1,0.08,47000.0,47
2,0.08,87000.0,87
3,0.08,130000.0,130
4,0.08,167000.0,167
5,0.08,207000.0,207
6,0.08,270000.0,270
7,0.08,279000.0,279
8,0.08,338000.0,338
9,0.08,373000.0,373
10,0.08,421000.0,421
11,0.08,1153000.0,1153
12,0.08,1153000.0,1153
13,0.08,1153000.0,1153
14,0.08,1153000.0,1153
15,0.08,1153000.0,1153
17,0.08,1153000.0,1153
16,0.08,1153000.0,1153
19,0.08,1153000.0,1153
18,0.08,1153000.0,1153
20,0.08,1153000.0,1153
1,0.1,56000.0,56
2,0.1,105000.0,105
3,0.1,161000.0,161
4,0.1,215000.0,215
5,0.1,262000.0,262
6,0.1,327000.0,327
7,0.1,352000.0,352
8,0.1,441000.0,441
9,0.1,464000.0,464
10,0.1,508000.0,508
11,0.1,1441000.0,1441
12,0.1,1441000.0,1441
13,0.1,1441000.0,1441
14,0.1,1441000.0,1441
15,0.1,1441000.0,1441
17,0.1,1441000.0,1441
16,0.1,1441000.0,1441
19,0.1,1441000.0,1441
18,0.1,1441000.0,1441
20,0.1,1441000.0,1441
1,0.12000000000000001,67000.0,67
2,0.12000000000000001,126000.0,126
3,0.12000000000000001,181000.0,181
4,0.12000000000000001,255000.0,255
5,0.12000000000000001,328000.0,328
6,0.12000000000000001,395000.0,395
7,0.12000000000000001,429000.0,429
8,0.12000000000000001,523000.0,523
9,0.12000000000000001,561000.0,561
10,0.12000000000000001,613000.0,613
11,0.12000000000000001,1730000.0,1730
12,0.12000000000000001,1730000.0,1730
13,0.12000000000000001,1730000.0,1730
14,0.12000000000000001,1730000.0,1730
15,0.12000000000000001,1730000.0,1730
17,0.12000000000000001,1730000.0,1730
16,0.12000000000000001,1730000.0,1730
19,0.12000000000000001,1730000.0,1730
18,0.12000000000000001,1730000.0,1730
20,0.12000000000000001,1730000.0,1730
1,0.14,77000.0,77
2,0.14,147000.0,147
3,0.14,219000.0,219
4,0.14,310000.0,310
5,0.14,379000.0,379
6,0.14,458000.0,458
7,0.14,492000.0,492
8,0.14,620000.0,620
9,0.14,645000.0,645
10,0.14,737000.0,737
11,0.14,2018000.0,2018
12,0.14,2018000.0,2018
13,0.14,2018000.0,2018
14,0.14,2018000.0,2018
15,0.14,2018000.0,2018
17,0.14,2018000.0,2018
16,0.14,2018000.0,2018
19,0.14,2018000.0,2018
18,0.14,2018000.0,2018
20,0.14,2018000.0,2018
1,0.16,82000.0,82
2,0.16,174000.0,174
3,0.16,252000.0,252
4,0.16,361000.0,361
5,0.16,431000.0,431
6,0.16,517000.0,517
7,0.16,566000.0,566
8,0.16,695000.0,695
9,0.16,724000.0,724
10,0.16,843000.0,843
11,0.16,2306000.0,2306
12,0.16,2306000.0,2306
13,0.16,2306000.0,2306
14,0.16,2306000.0,2306
15,0.16,2306000.0,2306
17,0.16,2306000.0,2306
16,0.16,2306000.0,2306
19,0.16,2306000.0,2306
18,0.16,2306000.0,2306
20,0.16,2306000.0,2306
1,0.18,94000.0,94
2,0.18,191000.0,191
3,0.18,280000.0,280
4,0.18,407000.0,407
5,0.18,494000.0,494
6,0.18,571000.0,571
7,0.18,634000.0,634
8,0.18,783000.0,783
9,0.18,809000.0,809
10,0.18,923000.0,923
11,0.18,2595000.0,2595
12,0.18,2595000.0,2595
13,0.18,2595000.0,2595
14,0.18,2595000.0,2595
15,0.18,2595000.0,2595
17,0.18,2595000.0,2595
16,0.18,2595000.0,2595
19,0.18,2595000.0,2595
18,0.18,2595000.0,2595
20,0.18,2595000.0,2595
1,0.19999999999999998,102000.0,102
2,0.19999999999999998,219000.0,219
3,0.19999999999999998,317000.0,317
4,0.19999999999999998,457000.0,457
5,0.19999999999999998,544000.0,544
6,0.19999999999999998,633000.0,633
7,0.19999999999999998,696000.0,696
8,0.19999999999999998,864000.0,864
9,0.19999999999999998,902000.0,902
10,0.19999999999999998,1016000.0,1016
11,0.19999999999999998,2883000.0,2883
12,0.19999999999999998,2883000.0,2883
13,0.19999999999999998,2883000.0,2883
14,0.19999999999999998,2883000.0,2883
15,0.19999999999999998,2883000.0,2883
17,0.19999999999999998,2883000.0,2883
16,0.19999999999999998,2883000.0,2883
19,0.19999999999999998,2883000.0,2883
18,0.19999999999999998,2883000.0,2883
20,0.19999999999999998,2883000.0,2883
1,0.21999999999999997,111000.0,111
2,0.21999999999999997,240000.0,240
3,0.21999999999999997,346000.0,346
4,0.21999999999999997,500000.0,500
5,0.21999999999999997,599000.0,599
6,0.21999999999999997,703000.0,703
7,0.21999999999999997,770000.0,770
8,0.21999999999999997,955000.0,955
9,0.21999999999999997,999000.0,999
10,0.21999999999999997,1116000.0,1116
11,0.21999999999999997,3171000.0,3171
12,0.21999999999999997,3171000.0,3171
13,0.21999999999999997,3171000.0,3171
14,0.21999999999999997,3171000.0,3171
15,0.21999999999999997,3171000.0,3171
17,0.21999999999999997,3171000.0,3171
16,0.21999999999999997,3171000.0,3171
19,0.21999999999999997,3171000.0,3171
18,0.21999999999999997,3171000.0,3171
20,0.21999999999999997,3171000.0,3171
1,0.23999999999999996,120000.0,120
2,0.23999999999999996,253000.0,253
3,0.23999999999999996,376000.0,376
4,0.23999999999999996,546000.0,546
5,0.23999999999999996,652000.0,652
6,0.23999999999999996,783000.0,783
7,0.23999999999999996,846000.0,846
8,0.23999999999999996,1031000.0,1031
9,0.23999999999999996,1089000.0,1089
10,0.23999999999999996,1236000.0,1236
11,0.23999999999999996,3460000.0,3460
12,0.23999999999999996,3460000.0,3460
13,0.23999999999999996,3460000.0,3460
14,0.23999999999999996,3460000.0,3460
15,0.23999999999999996,3460000.0,3460
17,0.23999999999999996,3460000.0,3460
16,0.23999999999999996,3460000.0,3460
19,0.23999999999999996,3460000.0,3460
18,0.23999999999999996,3460000.0,3460
20,0.23999999999999996,3460000.0,3460
1,0.25999999999999995,132000.0,132
2,0.25999999999999995,277000.0,277
3,0.25999999999999995,408000.0,408
4,0.25999999999999995,614000.0,614
5,0.25999999999999995,711000.0,711
6,0.25999999999999995,831000.0,831
7,0.25999999999999995,918000.0,918
8,0.25999999999999995,1141000.0,1141
9,0.25999999999999995,1174000.0,1174
10,0.25999999999999995,1337000.0,1337
11,0.25999999999999995,3748000.0,3748
12,0.25999999999999995,3748000.0,3748
13,0.25999999999999995,3748000.0,3748
14,0.25999999999999995,3748000.0,3748
15,0.25999999999999995,3748000.0,3748
17,0.25999999999999995,3748000.0,3748
16,0.25999999999999995,3748000.0,3748
19,0.25999999999999995,3748000.0,3748
18,0.25999999999999995,3748000.0,3748
20,0.25999999999999995,3748000.0,3748
1,0.27999999999999997,152000.0,152
2,0.27999999999999997,300000.0,300
3,0.27999999999999997,434000.0,434
4,0.27999999999999997,652000.0,652
5,0.27999999999999997,774000.0,774
6,0.27999999999999997,882000.0,882
7,0.27999999999999997,988000.0,988
8,0.27999999999999997,1222000.0,1222
9,0.27999999999999997,1284000.0,1284
10,0.27999999999999997,1437000.0,1437
11,0.27999999999999997,4036000.0,4036
12,0.27999999999999997,4036000.0,4036
13,0.27999999999999997,4036000.0,4036
14,0.27999999999999997,4036000.0,4036
15,0.27999999999999997,4036000.0,4036
17,0.27999999999999997,4036000.0,4036
16,0.27999999999999997,4036000.0,4036
19,0.27999999999999997,4036000.0,4036
18,0.27999999999999997,4036000.0,4036
20,0.27999999999999997,4036000.0,4036
1,0.3,162000.0,162
2,0.3,322000.0,322
3,0.3,474000.0,474
4,0.3,694000.0,694
5,0.3,832000.0,832
6,0.3,949000.0,949
7,0.3,1051000.0,1051
8,0.3,1306000.0,1306
9,0.3,1378000.0,1378
10,0.3,1561000.0,1561
11,0.3,4325000.0,4325
12,0.3,4325000.0,4325
13,0.3,4325000.0,4325
14,0.3,4325000.0,4325
15,0.3,4325000.0,4325
17,0.3,4325000.0,4325
16,0.3,4325000.0,4325
19,0.3,4325000.0,4325
18,0.3,4325000.0,4325
20,0.3,4325000.0,4325
1,0.32,170000.0,170
2,0.32,346000.0,346
3,0.32,513000.0,513
4,0.32,738000.0,738
5,0.32,881000.0,881
6,0.32,1009000.0,1009
7,0.32,1121000.0,1121
8,0.32,1393000.0,1393
9,0.32,1468000.0,1468
10,0.32,1674000.0,1674
11,0.32,4613000.0,4613
12,0.32,4613000.0,4613
13,0.32,4613000.0,4613
14,0.32,4613000.0,4613
15,0.32,4613000.0,4613
17,0.32,4613000.0,4613
16,0.32,4613000.0,4613
19,0.32,4613000.0,4613
18,0.32,4613000.0,4613
20,0.32,4613000.0,4613
1,0.34,178000.0,178
2,0.34,375000.0,375
3,0.34,549000.0,549
4,0.34,773000.0,773
5,0.34,918000.0,918
6,0.34,1069000.0,1069
7,0.34,1203000.0,1203
8,0.34,1485000.0,1485
9,0.34,1553000.0,1553
10,0.34,1756000.0,1756
11,0.34,4902000.0,4902
12,0.34,4902000.0,4902
13,0.34,4902000.0,4902
14,0.34,4902000.0,4902
15,0.34,4902000.0,4902
17,0.34,4902000.0,4902
16,0.34,4902000.0,4902
19,0.34,4902000.0,4902
18,0.34,4902000.0,4902
20,0.34,4902000.0,4902
1,0.36000000000000004,190000.0,190
2,0.36000000000000004,393000.0,393
3,0.36000000000000004,576000.0,576
4,0.36000000000000004,815000.0,815
5,0.36000000000000004,967000.0,967
6,0.36000000000000004,1127000.0,1127
7,0.36000000000000004,1279000.0,1279
8,0.36000000000000004,1579000.0,1579
9,0.36000000000000004,1646000.0,1646
10,0.36000000000000004,1860000.0,1860
11,0.36000000000000004,5190000.0,5190
12,0.36000000000000004,5190000.0,5190
13,0.36000000000000004,5190000.0,5190
14,0.36000000000000004,5190000.0,5190
15,0.36000000000000004,5190000.0,5190
17,0.36000000000000004,5190000.0,5190
16,0.36000000000000004,5190000.0,5190
19,0.36000000000000004,5190000.0,5190
18,0.36000000000000004,5190000.0,5190
20,0.36000000000000004,5190000.0,5190
1,0.38000000000000006,199000.0,199
2,0.38000000000000006,415000.0,415
3,0.38000000000000006,602000.0,602
4,0.38000000000000006,857000.0,857
5,0.38000000000000006,1001000.0,1001
6,0.38000000000000006,1184000.0,1184
7,0.38000000000000006,1357000.0,1357
8,0.38000000000000006,1653000.0,1653
9,0.38000000000000006,1753000.0,1753
10,0.38000000000000006,1954000.0,1954
11,0.38000000000000006,5478000.0,5478
12,0.38000000000000006,5478000.0,5478
13,0.38000000000000006,5478000.0,5478
14,0.38000000000000006,5478000.0,5478
15,0.38000000000000006,5478000.0,5478
17,0.38000000000000006,5478000.0,5478
16,0.38000000000000006,5478000.0,5478
19,0.38000000000000006,5478000.0,5478
18,0.38000000000000006,5478000.0,5478
20,0.38000000000000006,5478000.0,5478
1,0.4000000000000001,207000.0,207
2,0.4000000000000001,442000.0,442
3,0.4000000000000001,625000.0,625
4,0.4000000000000001,908000.0,908
5,0.4000000000000001,1048000.0,1048
6,0.4000000000000001,1249000.0,1249
7,0.4000000000000001,1423000.0,1423
8,0.4000000000000001,1729000.0,1729
9,0.4000000000000001,1846000.0,1846
10,0.4000000000000001,2053000.0,2053
11,0.4000000000000001,5767000.0,5767
12,0.4000000000000001,5767000.0,5767
13,0.4000000000000001,5767000.0,5767
14,0.4000000000000001,5767000.0,5767
15,0.4000000000000001,5767000.0,5767
17,0.4000000000000001,5767000.0,5767
16,0.4000000000000001,5767000.0,5767
19,0.4000000000000001,5767000.0,5767
18,0.4000000000000001,5767000.0,5767
20,0.4000000000000001,5767000.0,5767
1,0.4200000000000001,216000.0,216
2,0.4200000000000001,466000.0,466
3,0.4200000000000001,655000.0,655
4,0.4200000000000001,948000.0,948
5,0.4200000000000001,1106000.0,1106
6,0.4200000000000001,1300000.0,1300
7,0.4200000000000001,1488000.0,1488
8,0.4200000000000001,1801000.0,1801
9,0.4200000000000001,1940000.0,1940
10,0.4200000000000001,2165000.0,2165
11,0.4200000000000001,6055000.0,6055
12,0.4200000000000001,6055000.0,6055
13,0.4200000000000001,6055000.0,6055
14,0.4200000000000001,6055000.0,6055
15,0.4200000000000001,6055000.0,6055
17,0.4200000000000001,6055000.0,6055
16,0.4200000000000001,6055000.0,6055
19,0.4200000000000001,6055000.0,6055
18,0.4200000000000001,6055000.0,6055
20,0.4200000000000001,6055000.0,6055
1,0.4400000000000001,227000.0,227
2,0.4400000000000001,481000.0,481
3,0.4400000000000001,685000.0,685
4,0.4400000000000001,994000.0,994
5,0.4400000000000001,1146000.0,1146
6,0.4400000000000001,1364000.0,1364
7,0.4400000000000001,1592000.0,1592
