flowId,currentTime,minimumBandwidth,allocatedBandwidth
1,3.702939648064785E-5,1048.576,0.0
2,3.702939648064785E-5,2097.152,0.0
3,3.702939648064785E-5,3145.728,0.0
4,3.702939648064785E-5,4194.304,0.0
5,3.702939648064785E-5,5242.88,0.0
6,3.702939648064785E-5,6291.456,0.0
7,3.702939648064785E-5,7340.032,0.0
8,3.702939648064785E-5,8388.608,0.0
9,3.702939648064785E-5,9437.184,0.0
10,3.702939648064785E-5,10485.76,173015.0
11,3.702939648064785E-5,1048.576,0.0
12,3.702939648064785E-5,2097.152,0.0
13,3.702939648064785E-5,3145.728,0.0
14,3.702939648064785E-5,4194.304,0.0
15,3.702939648064785E-5,5242.88,0.0
17,3.702939648064785E-5,7340.032,0.0
16,3.702939648064785E-5,6291.456,0.0
19,3.702939648064785E-5,9437.184,0.0
18,3.702939648064785E-5,8388.608,0.0
20,3.702939648064785E-5,10485.76,0.0
1,4.11857727158349E-5,1048.576,0.0
2,4.11857727158349E-5,2097.152,0.0
3,4.11857727158349E-5,3145.728,0.0
4,4.11857727158349E-5,4194.304,0.0
5,4.11857727158349E-5,5242.88,0.0
6,4.11857727158349E-5,6291.456,0.0
7,4.11857727158349E-5,7340.032,0.0
8,4.11857727158349E-5,8388.608,0.0
9,4.11857727158349E-5,9437.184,86507.5
10,4.11857727158349E-5,10485.76,86507.5
11,4.11857727158349E-5,1048.576,0.0
12,4.11857727158349E-5,2097.152,0.0
13,4.11857727158349E-5,3145.728,0.0
14,4.11857727158349E-5,4194.304,0.0
15,4.11857727158349E-5,5242.88,0.0
17,4.11857727158349E-5,7340.032,0.0
16,4.11857727158349E-5,6291.456,0.0
19,4.11857727158349E-5,9437.184,0.0
18,4.11857727158349E-5,8388.608,0.0
20,4.11857727158349E-5,10485.76,0.0
1,4.6318240492837504E-5,1048.576,0.0
2,4.6318240492837504E-5,2097.152,0.0
3,4.6318240492837504E-5,3145.728,0.0
4,4.6318240492837504E-5,4194.304,0.0
5,4.6318240492837504E-5,5242.88,0.0
6,4.6318240492837504E-5,6291.456,0.0
7,4.6318240492837504E-5,7340.032,0.0
8,4.6318240492837504E-5,8388.608,57671.664
9,4.6318240492837504E-5,9437.184,57671.664
10,4.6318240492837504E-5,10485.76,57671.664
11,4.6318240492837504E-5,1048.576,0.0
12,4.6318240492837504E-5,2097.152,0.0
13,4.6318240492837504E-5,3145.728,0.0
14,4.6318240492837504E-5,4194.304,0.0
15,4.6318240492837504E-5,5242.88,0.0
17,4.6318240492837504E-5,7340.032,0.0
16,4.6318240492837504E-5,6291.456,0.0
19,4.6318240492837504E-5,9437.184,0.0
18,4.6318240492837504E-5,8388.608,0.0
20,4.6318240492837504E-5,10485.76,0.0
1,5.284516009851359E-5,1048.576,0.0
2,5.284516009851359E-5,2097.152,0.0
3,5.284516009851359E-5,3145.728,0.0
4,5.284516009851359E-5,4194.304,0.0
5,5.284516009851359E-5,5242.88,0.0
6,5.284516009851359E-5,6291.456,0.0
7,5.284516009851359E-5,7340.032,43253.742
8,5.284516009851359E-5,8388.608,43253.742
9,5.284516009851359E-5,9437.184,43253.742
10,5.284516009851359E-5,10485.76,43253.742
11,5.284516009851359E-5,1048.576,0.0
12,5.284516009851359E-5,2097.152,0.0
13,5.284516009851359E-5,3145.728,0.0
14,5.284516009851359E-5,4194.304,0.0
15,5.284516009851359E-5,5242.88,0.0
17,5.284516009851359E-5,7340.032,0.0
16,5.284516009851359E-5,6291.456,0.0
19,5.284516009851359E-5,9437.184,0.0
18,5.284516009851359E-5,8388.608,0.0
20,5.284516009851359E-5,10485.76,0.0
1,5.7798457419266924E-5,1048.576,0.0
2,5.7798457419266924E-5,2097.152,0.0
3,5.7798457419266924E-5,3145.728,0.0
4,5.7798457419266924E-5,4194.304,0.0
5,5.7798457419266924E-5,5242.88,0.0
6,5.7798457419266924E-5,6291.456,0.0
7,5.7798457419266924E-5,7340.032,12358.211
8,5.7798457419266924E-5,8388.608,12358.211
9,5.7798457419266924E-5,9437.184,12358.211
10,5.7798457419266924E-5,10485.76,12358.211
11,5.7798457419266924E-5,1048.576,12358.211
12,5.7798457419266924E-5,2097.152,12358.211
13,5.7798457419266924E-5,3145.728,12358.211
14,5.7798457419266924E-5,4194.304,12358.211
15,5.7798457419266924E-5,5242.88,12358.211
17,5.7798457419266924E-5,7340.032,12358.211
16,5.7798457419266924E-5,6291.456,12358.211
19,5.7798457419266924E-5,9437.184,12358.211
18,5.7798457419266924E-5,8388.608,12358.211
20,5.7798457419266924E-5,10485.76,12358.211
1,6.163170473882928E-5,1048.576,0.0
2,6.163170473882928E-5,2097.152,0.0
3,6.163170473882928E-5,3145.728,0.0
4,6.163170473882928E-5,4194.304,0.0
5,6.163170473882928E-5,5242.88,0.0
6,6.163170473882928E-5,6291.456,11534.331
7,6.163170473882928E-5,7340.032,11534.331
8,6.163170473882928E-5,8388.608,11534.331
9,6.163170473882928E-5,9437.184,11534.331
10,6.163170473882928E-5,10485.76,11534.331
11,6.163170473882928E-5,1048.576,11534.331
12,6.163170473882928E-5,2097.152,11534.331
13,6.163170473882928E-5,3145.728,11534.331
14,6.163170473882928E-5,4194.304,11534.331
15,6.163170473882928E-5,5242.88,11534.331
17,6.163170473882928E-5,7340.032,11534.331
16,6.163170473882928E-5,6291.456,11534.331
19,6.163170473882928E-5,9437.184,11534.331
18,6.163170473882928E-5,8388.608,11534.331
20,6.163170473882928E-5,10485.76,11534.331
1,7.403360359603539E-5,1048.576,0.0
2,7.403360359603539E-5,2097.152,0.0
3,7.403360359603539E-5,3145.728,0.0
4,7.403360359603539E-5,4194.304,0.0
5,7.403360359603539E-5,5242.88,10813.436
6,7.403360359603539E-5,6291.456,10813.436
7,7.403360359603539E-5,7340.032,10813.436
8,7.403360359603539E-5,8388.608,10813.436
9,7.403360359603539E-5,9437.184,10813.436
10,7.403360359603539E-5,10485.76,10813.436
11,7.403360359603539E-5,1048.576,10813.436
12,7.403360359603539E-5,2097.152,10813.436
13,7.403360359603539E-5,3145.728,10813.436
14,7.403360359603539E-5,4194.304,10813.436
15,7.403360359603539E-5,5242.88,10813.436
17,7.403360359603539E-5,7340.032,10813.436
16,7.403360359603539E-5,6291.456,10813.436
19,7.403360359603539E-5,9437.184,10813.436
18,7.403360359603539E-5,8388.608,10813.436
20,7.403360359603539E-5,10485.76,10813.436
1,9.251051233150065E-5,1048.576,0.0
2,9.251051233150065E-5,2097.152,0.0
3,9.251051233150065E-5,3145.728,0.0
4,9.251051233150065E-5,4194.304,10136.231
5,9.251051233150065E-5,5242.88,10136.231
6,9.251051233150065E-5,6291.456,10136.231
7,9.251051233150065E-5,7340.032,10136.231
8,9.251051233150065E-5,8388.608,10136.231
9,9.251051233150065E-5,9437.184,10136.231
10,9.251051233150065E-5,10485.76,10485.76
11,9.251051233150065E-5,1048.576,10136.231
12,9.251051233150065E-5,2097.152,10136.231
13,9.251051233150065E-5,3145.728,10136.231
14,9.251051233150065E-5,4194.304,10136.231
15,9.251051233150065E-5,5242.88,10136.231
17,9.251051233150065E-5,7340.032,10136.231
16,9.251051233150065E-5,6291.456,10136.231
19,9.251051233150065E-5,9437.184,10136.231
18,9.251051233150065E-5,8388.608,10136.231
20,9.251051233150065E-5,10485.76,10485.76
1,1.244827581103891E-4,1048.576,0.0
2,1.244827581103891E-4,2097.152,0.0
3,1.244827581103891E-4,3145.728,9502.717
