flowId,timestamp,totalData,totalPackets
1,0.0,0.0,0
2,0.0,0.0,0
3,0.0,0.0,0
4,0.0,0.0,0
5,0.0,0.0,0
6,0.0,0.0,0
7,0.0,0.0,0
8,0.0,0.0,0
9,0.0,0.0,0
10,0.0,0.0,0
11,0.0,0.0,0
12,0.0,0.0,0
13,0.0,0.0,0
14,0.0,0.0,0
15,0.0,0.0,0
17,0.0,0.0,0
16,0.0,0.0,0
19,0.0,0.0,0
18,0.0,0.0,0
20,0.0,0.0,0
1,0.02,11000.0,11
2,0.02,22000.0,22
3,0.02,39000.0,39
4,0.02,53000.0,53
5,0.02,69000.0,69
6,0.02,80000.0,80
7,0.02,67000.0,67
8,0.02,82000.0,82
9,0.02,213000.0,213
10,0.02,172000.0,172
11,0.02,266000.0,266
12,0.02,265000.0,265
13,0.02,265000.0,265
14,0.02,265000.0,265
15,0.02,265000.0,265
17,0.02,265000.0,265
16,0.02,265000.0,265
19,0.02,265000.0,265
18,0.02,265000.0,265
20,0.02,266000.0,266
1,0.04,18000.0,18
2,0.04,32000.0,32
3,0.04,46000.0,46
4,0.04,69000.0,69
5,0.04,83000.0,83
6,0.04,196000.0,196
7,0.04,140000.0,140
8,0.04,206000.0,206
9,0.04,243000.0,243
10,0.04,243000.0,243
11,0.04,567000.0,567
12,0.04,567000.0,567
13,0.04,567000.0,567
14,0.04,567000.0,567
15,0.04,567000.0,567
17,0.04,564000.0,564
16,0.04,563000.0,563
19,0.04,563000.0,563
18,0.04,563000.0,563
20,0.04,556000.0,556
1,0.06,22000.0,22
2,0.06,44000.0,44
3,0.06,63000.0,63
4,0.06,120000.0,120
5,0.06,203000.0,203
6,0.06,223000.0,223
7,0.06,220000.0,220
8,0.06,240000.0,240
9,0.06,285000.0,285
10,0.06,282000.0,282
11,0.06,872000.0,872
12,0.06,872000.0,872
13,0.06,872000.0,872
14,0.06,872000.0,872
15,0.06,871000.0,871
17,0.06,865000.0,865
16,0.06,865000.0,865
19,0.06,865000.0,865
18,0.06,865000.0,865
20,0.06,858000.0,858
1,0.08,22000.0,22
2,0.08,44000.0,44
3,0.08,69000.0,69
4,0.08,200000.0,200
5,0.08,205000.0,205
6,0.08,225000.0,225
7,0.08,224000.0,224
8,0.08,250000.0,250
9,0.08,290000.0,290
10,0.08,286000.0,286
11,0.08,1832000.0,1832
12,0.08,1831000.0,1831
13,0.08,1178000.0,1178
14,0.08,1027000.0,1027
15,0.08,1027000.0,1027
17,0.08,1027000.0,1027
16,0.08,1027000.0,1027
19,0.08,1027000.0,1027
18,0.08,1027000.0,1027
20,0.08,1020000.0,1020
1,0.1,22000.0,22
2,0.1,44000.0,44
3,0.1,69000.0,69
4,0.1,200000.0,200
5,0.1,205000.0,205
6,0.1,225000.0,225
7,0.1,224000.0,224
8,0.1,250000.0,250
9,0.1,290000.0,290
10,0.1,286000.0,286
11,0.1,1832000.0,1832
12,0.1,1831000.0,1831
13,0.1,1831000.0,1831
14,0.1,1831000.0,1831
15,0.1,1831000.0,1831
17,0.1,1831000.0,1831
16,0.1,1421000.0,1421
19,0.1,1027000.0,1027
18,0.1,1027000.0,1027
20,0.1,1020000.0,1020
1,0.12000000000000001,22000.0,22
2,0.12000000000000001,44000.0,44
3,0.12000000000000001,69000.0,69
4,0.12000000000000001,200000.0,200
5,0.12000000000000001,205000.0,205
6,0.12000000000000001,225000.0,225
7,0.12000000000000001,224000.0,224
8,0.12000000000000001,250000.0,250
9,0.12000000000000001,290000.0,290
10,0.12000000000000001,286000.0,286
11,0.12000000000000001,1832000.0,1832
12,0.12000000000000001,1831000.0,1831
13,0.12000000000000001,1831000.0,1831
14,0.12000000000000001,1831000.0,1831
15,0.12000000000000001,1831000.0,1831
17,0.12000000000000001,1831000.0,1831
16,0.12000000000000001,1831000.0,1831
19,0.12000000000000001,1831000.0,1831
18,0.12000000000000001,1831000.0,1831
20,0.12000000000000001,1831000.0,1831
