flowId,timestamp,totalData,totalPackets
1,0.0,0.0,0
2,0.0,0.0,0
3,0.0,0.0,0
4,0.0,0.0,0
5,0.0,0.0,0
6,0.0,0.0,0
7,0.0,0.0,0
8,0.0,0.0,0
9,0.0,0.0,0
10,0.0,0.0,0
11,0.0,0.0,0
12,0.0,0.0,0
13,0.0,0.0,0
14,0.0,0.0,0
15,0.0,0.0,0
17,0.0,0.0,0
16,0.0,0.0,0
19,0.0,0.0,0
18,0.0,0.0,0
20,0.0,0.0,0
1,0.02,21000.0,21
2,0.02,42000.0,42
3,0.02,63000.0,63
4,0.02,84000.0,84
5,0.02,152000.0,152
6,0.02,163000.0,163
7,0.02,173000.0,173
8,0.02,184000.0,184
9,0.02,194000.0,194
10,0.02,199000.0,199
11,0.02,195000.0,195
12,0.02,195000.0,195
13,0.02,194000.0,194
14,0.02,194000.0,194
15,0.02,194000.0,194
17,0.02,210000.0,210
16,0.02,194000.0,194
19,0.02,270000.0,270
18,0.02,240000.0,240
20,0.02,299000.0,299
1,0.04,42000.0,42
2,0.04,84000.0,84
3,0.04,163000.0,163
4,0.04,184000.0,184
5,0.04,199000.0,199
6,0.04,202000.0,202
7,0.04,240000.0,240
8,0.04,264000.0,264
9,0.04,289000.0,289
10,0.04,310000.0,310
11,0.04,475000.0,475
12,0.04,475000.0,475
13,0.04,475000.0,475
14,0.04,475000.0,475
15,0.04,474000.0,474
17,0.04,474000.0,474
16,0.04,474000.0,474
19,0.04,541000.0,541
18,0.04,480000.0,480
20,0.04,600000.0,600
1,0.06,63000.0,63
2,0.06,163000.0,163
3,0.06,194000.0,194
4,0.06,202000.0,202
5,0.06,257000.0,257
6,0.06,289000.0,289
7,0.06,320000.0,320
8,0.06,352000.0,352
9,0.06,383000.0,383
10,0.06,414000.0,414
11,0.06,751000.0,751
12,0.06,751000.0,751
13,0.06,751000.0,751
14,0.06,751000.0,751
15,0.06,751000.0,751
17,0.06,751000.0,751
16,0.06,751000.0,751
19,0.06,822000.0,822
18,0.06,750000.0,750
20,0.06,913000.0,913
1,0.08,84000.0,84
2,0.08,184000.0,184
3,0.08,202000.0,202
4,0.08,268000.0,268
5,0.08,310000.0,310
6,0.08,352000.0,352
7,0.08,394000.0,394
8,0.08,436000.0,436
9,0.08,477000.0,477
10,0.08,519000.0,519
11,0.08,1036000.0,1036
12,0.08,1036000.0,1036
13,0.08,1036000.0,1036
14,0.08,1035000.0,1035
15,0.08,1035000.0,1035
17,0.08,1035000.0,1035
16,0.08,1035000.0,1035
19,0.08,1103000.0,1103
18,0.08,1035000.0,1035
20,0.08,1226000.0,1226
1,0.1,152000.0,152
2,0.1,199000.0,199
3,0.1,257000.0,257
4,0.1,310000.0,310
5,0.1,362000.0,362
6,0.1,415000.0,415
7,0.1,467000.0,467
8,0.1,519000.0,519
9,0.1,572000.0,572
10,0.1,624000.0,624
11,0.1,1313000.0,1313
12,0.1,1312000.0,1312
13,0.1,1312000.0,1312
14,0.1,1312000.0,1312
15,0.1,1312000.0,1312
17,0.1,1312000.0,1312
16,0.1,1312000.0,1312
19,0.1,1385000.0,1385
18,0.1,1312000.0,1312
20,0.1,1538000.0,1538
1,0.12000000000000001,163000.0,163
2,0.12000000000000001,202000.0,202
3,0.12000000000000001,289000.0,289
4,0.12000000000000001,352000.0,352
5,0.12000000000000001,415000.0,415
6,0.12000000000000001,477000.0,477
7,0.12000000000000001,540000.0,540
8,0.12000000000000001,603000.0,603
9,0.12000000000000001,666000.0,666
10,0.12000000000000001,729000.0,729
11,0.12000000000000001,1601000.0,1601
12,0.12000000000000001,1601000.0,1601
13,0.12000000000000001,1601000.0,1601
14,0.12000000000000001,1601000.0,1601
15,0.12000000000000001,1601000.0,1601
17,0.12000000000000001,1601000.0,1601
16,0.12000000000000001,1600000.0,1600
19,0.12000000000000001,1665000.0,1665
18,0.12000000000000001,1600000.0,1600
20,0.12000000000000001,1850000.0,1850
1,0.14,173000.0,173
2,0.14,244000.0,244
3,0.14,320000.0,320
4,0.14,394000.0,394
5,0.14,467000.0,467
6,0.14,540000.0,540
7,0.14,614000.0,614
8,0.14,687000.0,687
9,0.14,761000.0,761
10,0.14,834000.0,834
11,0.14,1884000.0,1884
12,0.14,1884000.0,1884
13,0.14,1884000.0,1884
14,0.14,1884000.0,1884
15,0.14,1884000.0,1884
17,0.14,1883000.0,1883
16,0.14,1883000.0,1883
19,0.14,1948000.0,1948
18,0.14,1883000.0,1883
20,0.14,2165000.0,2165
1,0.16,184000.0,184
2,0.16,268000.0,268
3,0.16,352000.0,352
4,0.16,436000.0,436
5,0.16,519000.0,519
6,0.16,603000.0,603
7,0.16,687000.0,687
8,0.16,771000.0,771
9,0.16,855000.0,855
10,0.16,939000.0,939
11,0.16,2170000.0,2170
12,0.16,2170000.0,2170
13,0.16,2170000.0,2170
14,0.16,2169000.0,2169
15,0.16,2169000.0,2169
17,0.16,2169000.0,2169
16,0.16,2169000.0,2169
19,0.16,2229000.0,2229
18,0.16,2169000.0,2169
20,0.16,2477000.0,2477
1,0.18,194000.0,194
2,0.18,289000.0,289
3,0.18,383000.0,383
4,0.18,477000.0,477
5,0.18,572000.0,572
6,0.18,666000.0,666
7,0.18,761000.0,761
8,0.18,855000.0,855
9,0.18,949000.0,949
10,0.18,1044000.0,1044
11,0.18,2456000.0,2456
12,0.18,2456000.0,2456
13,0.18,2456000.0,2456
14,0.18,2456000.0,2456
15,0.18,2456000.0,2456
17,0.18,2456000.0,2456
16,0.18,2455000.0,2455
19,0.18,2510000.0,2510
18,0.18,2455000.0,2455
20,0.18,2788000.0,2788
1,0.19999999999999998,199000.0,199
2,0.19999999999999998,310000.0,310
3,0.19999999999999998,415000.0,415
4,0.19999999999999998,519000.0,519
5,0.19999999999999998,624000.0,624
6,0.19999999999999998,729000.0,729
7,0.19999999999999998,834000.0,834
8,0.19999999999999998,939000.0,939
9,0.19999999999999998,1044000.0,1044
10,0.19999999999999998,1149000.0,1149
11,0.19999999999999998,2743000.0,2743
12,0.19999999999999998,2743000.0,2743
13,0.19999999999999998,2743000.0,2743
14,0.19999999999999998,2743000.0,2743
15,0.19999999999999998,2743000.0,2743
17,0.19999999999999998,2743000.0,2743
16,0.19999999999999998,2743000.0,2743
19,0.19999999999999998,2789000.0,2789
18,0.19999999999999998,2743000.0,2743
20,0.19999999999999998,3098000.0,3098
1,0.21999999999999997,199000.0,199
2,0.21999999999999997,331000.0,331
3,0.21999999999999997,446000.0,446
4,0.21999999999999997,561000.0,561
5,0.21999999999999997,677000.0,677
6,0.21999999999999997,792000.0,792
7,0.21999999999999997,907000.0,907
8,0.21999999999999997,1023000.0,1023
9,0.21999999999999997,1138000.0,1138
10,0.21999999999999997,1253000.0,1253
11,0.21999999999999997,3032000.0,3032
12,0.21999999999999997,3031000.0,3031
13,0.21999999999999997,3031000.0,3031
14,0.21999999999999997,3031000.0,3031
15,0.21999999999999997,3031000.0,3031
17,0.21999999999999997,3031000.0,3031
16,0.21999999999999997,3031000.0,3031
19,0.21999999999999997,3068000.0,3068
18,0.21999999999999997,3031000.0,3031
20,0.21999999999999997,3409000.0,3409
1,0.23999999999999996,202000.0,202
2,0.23999999999999996,352000.0,352
3,0.23999999999999996,477000.0,477
4,0.23999999999999996,603000.0,603
5,0.23999999999999996,729000.0,729
6,0.23999999999999996,855000.0,855
7,0.23999999999999996,981000.0,981
8,0.23999999999999996,1107000.0,1107
9,0.23999999999999996,1232000.0,1232
10,0.23999999999999996,1358000.0,1358
11,0.23999999999999996,3319000.0,3319
12,0.23999999999999996,3319000.0,3319
13,0.23999999999999996,3319000.0,3319
14,0.23999999999999996,3319000.0,3319
15,0.23999999999999996,3319000.0,3319
17,0.23999999999999996,3319000.0,3319
16,0.23999999999999996,3318000.0,3318
19,0.23999999999999996,3347000.0,3347
18,0.23999999999999996,3318000.0,3318
20,0.23999999999999996,3719000.0,3719
1,0.25999999999999995,223000.0,223
2,0.25999999999999995,373000.0,373
3,0.25999999999999995,509000.0,509
4,0.25999999999999995,645000.0,645
5,0.25999999999999995,782000.0,782
6,0.25999999999999995,918000.0,918
7,0.25999999999999995,1054000.0,1054
8,0.25999999999999995,1190000.0,1190
9,0.25999999999999995,1327000.0,1327
10,0.25999999999999995,1463000.0,1463
11,0.25999999999999995,3604000.0,3604
12,0.25999999999999995,3604000.0,3604
13,0.25999999999999995,3604000.0,3604
14,0.25999999999999995,3604000.0,3604
15,0.25999999999999995,3603000.0,3603
17,0.25999999999999995,3603000.0,3603
16,0.25999999999999995,3603000.0,3603
19,0.25999999999999995,3628000.0,3628
18,0.25999999999999995,3603000.0,3603
20,0.25999999999999995,4031000.0,4031
1,0.27999999999999997,244000.0,244
2,0.27999999999999997,394000.0,394
3,0.27999999999999997,540000.0,540
4,0.27999999999999997,687000.0,687
5,0.27999999999999997,834000.0,834
6,0.27999999999999997,981000.0,981
7,0.27999999999999997,1128000.0,1128
8,0.27999999999999997,1274000.0,1274
9,0.27999999999999997,1421000.0,1421
10,0.27999999999999997,1568000.0,1568
11,0.27999999999999997,3889000.0,3889
12,0.27999999999999997,3889000.0,3889
13,0.27999999999999997,3889000.0,3889
14,0.27999999999999997,3888000.0,3888
15,0.27999999999999997,3888000.0,3888
17,0.27999999999999997,3888000.0,3888
16,0.27999999999999997,3888000.0,3888
19,0.27999999999999997,3909000.0,3909
18,0.27999999999999997,3888000.0,3888
20,0.27999999999999997,4343000.0,4343
1,0.3,244000.0,244
2,0.3,394000.0,394
3,0.3,540000.0,540
4,0.3,687000.0,687
5,0.3,834000.0,834
6,0.3,981000.0,981
7,0.3,1128000.0,1128
8,0.3,1274000.0,1274
9,0.3,1421000.0,1421
10,0.3,1568000.0,1568
11,0.3,3889000.0,3889
12,0.3,3889000.0,3889
13,0.3,3889000.0,3889
14,0.3,3889000.0,3889
15,0.3,3889000.0,3889
17,0.3,3889000.0,3889
16,0.3,3889000.0,3889
19,0.3,3909000.0,3909
18,0.3,3888000.0,3888
20,0.3,4344000.0,4344
