flowId,timestamp,totalData,totalPackets
1,0.0,0.0,0
2,0.0,0.0,0
3,0.0,0.0,0
4,0.0,0.0,0
5,0.0,0.0,0
6,0.0,0.0,0
7,0.0,0.0,0
8,0.0,0.0,0
9,0.0,0.0,0
10,0.0,0.0,0
11,0.0,0.0,0
12,0.0,0.0,0
13,0.0,0.0,0
14,0.0,0.0,0
15,0.0,0.0,0
17,0.0,0.0,0
16,0.0,0.0,0
19,0.0,0.0,0
18,0.0,0.0,0
20,0.0,0.0,0
1,0.02,22000.0,22
2,0.02,45000.0,45
3,0.02,67000.0,67
4,0.02,101000.0,101
5,0.02,107000.0,107
6,0.02,134000.0,134
7,0.02,131000.0,131
8,0.02,160000.0,160
9,0.02,197000.0,197
10,0.02,194000.0,194
11,0.02,40000.0,40
12,0.02,73000.0,73
13,0.02,103000.0,103
14,0.02,124000.0,124
15,0.02,190000.0,190
17,0.02,264000.0,264
16,0.02,186000.0,186
19,0.02,309000.0,309
18,0.02,297000.0,297
20,0.02,327000.0,327
1,0.04,22000.0,22
2,0.04,45000.0,45
3,0.04,70000.0,70
4,0.04,102000.0,102
5,0.04,108000.0,108
6,0.04,134000.0,134
7,0.04,131000.0,131
8,0.04,162000.0,162
9,0.04,198000.0,198
10,0.04,194000.0,194
11,0.04,103000.0,103
12,0.04,199000.0,199
13,0.04,291000.0,291
14,0.04,372000.0,372
15,0.04,504000.0,504
17,0.04,705000.0,705
16,0.04,566000.0,566
19,0.04,875000.0,875
18,0.04,797000.0,797
20,0.04,953000.0,953
1,0.06,22000.0,22
2,0.06,45000.0,45
3,0.06,70000.0,70
4,0.06,102000.0,102
5,0.06,108000.0,108
6,0.06,134000.0,134
7,0.06,131000.0,131
8,0.06,162000.0,162
9,0.06,198000.0,198
10,0.06,194000.0,194
11,0.06,166000.0,166
12,0.06,325000.0,325
13,0.06,480000.0,480
14,0.06,624000.0,624
15,0.06,818000.0,818
17,0.06,1145000.0,1145
16,0.06,944000.0,944
19,0.06,1441000.0,1441
18,0.06,1300000.0,1300
20,0.06,1581000.0,1581
1,0.08,22000.0,22
2,0.08,45000.0,45
3,0.08,70000.0,70
4,0.08,102000.0,102
5,0.08,108000.0,108
6,0.08,134000.0,134
7,0.08,131000.0,131
8,0.08,162000.0,162
9,0.08,198000.0,198
10,0.08,194000.0,194
11,0.08,273000.0,273
12,0.08,537000.0,537
13,0.08,800000.0,800
14,0.08,1050000.0,1050
15,0.08,1349000.0,1349
17,0.08,1703000.0,1703
16,0.08,1577000.0,1577
19,0.08,1665000.0,1665
18,0.08,1692000.0,1692
20,0.08,1637000.0,1637
1,0.1,22000.0,22
2,0.1,45000.0,45
3,0.1,70000.0,70
4,0.1,102000.0,102
5,0.1,108000.0,108
6,0.1,134000.0,134
7,0.1,131000.0,131
8,0.1,162000.0,162
9,0.1,198000.0,198
10,0.1,194000.0,194
11,0.1,763000.0,763
12,0.1,1517000.0,1517
13,0.1,1708000.0,1708
14,0.1,1683000.0,1683
15,0.1,1710000.0,1710
17,0.1,1703000.0,1703
16,0.1,1664000.0,1664
19,0.1,1665000.0,1665
18,0.1,1692000.0,1692
20,0.1,1637000.0,1637
1,0.12000000000000001,22000.0,22
2,0.12000000000000001,45000.0,45
3,0.12000000000000001,70000.0,70
4,0.12000000000000001,102000.0,102
5,0.12000000000000001,108000.0,108
6,0.12000000000000001,134000.0,134
7,0.12000000000000001,131000.0,131
8,0.12000000000000001,162000.0,162
9,0.12000000000000001,198000.0,198
10,0.12000000000000001,194000.0,194
11,0.12000000000000001,1731000.0,1731
12,0.12000000000000001,1719000.0,1719
13,0.12000000000000001,1708000.0,1708
14,0.12000000000000001,1683000.0,1683
15,0.12000000000000001,1710000.0,1710
17,0.12000000000000001,1703000.0,1703
16,0.12000000000000001,1664000.0,1664
19,0.12000000000000001,1665000.0,1665
18,0.12000000000000001,1692000.0,1692
20,0.12000000000000001,1637000.0,1637
