flowId,timestamp,totalData,totalPackets
1,0.0,0.0,0
2,0.0,0.0,0
3,0.0,0.0,0
4,0.0,0.0,0
5,0.0,0.0,0
6,0.0,0.0,0
7,0.0,0.0,0
8,0.0,0.0,0
9,0.0,0.0,0
10,0.0,0.0,0
11,0.0,0.0,0
12,0.0,0.0,0
13,0.0,0.0,0
14,0.0,0.0,0
15,0.0,0.0,0
17,0.0,0.0,0
16,0.0,0.0,0
19,0.0,0.0,0
18,0.0,0.0,0
21,0.0,0.0,0
20,0.0,0.0,0
23,0.0,0.0,0
22,0.0,0.0,0
25,0.0,0.0,0
24,0.0,0.0,0
27,0.0,0.0,0
26,0.0,0.0,0
29,0.0,0.0,0
28,0.0,0.0,0
30,0.0,0.0,0
1,0.02,22000.0,22
2,0.02,45000.0,45
3,0.02,70000.0,70
4,0.02,99000.0,99
5,0.02,110000.0,110
6,0.02,142000.0,142
7,0.02,142000.0,142
8,0.02,165000.0,165
9,0.02,197000.0,197
10,0.02,197000.0,197
11,0.02,15000.0,15
12,0.02,15000.0,15
13,0.02,34000.0,34
14,0.02,56000.0,56
15,0.02,66000.0,66
17,0.02,84000.0,84
16,0.02,55000.0,55
19,0.02,90000.0,90
18,0.02,76000.0,76
21,0.02,108000.0,108
20,0.02,146000.0,146
23,0.02,108000.0,108
22,0.02,108000.0,108
25,0.02,134000.0,134
24,0.02,107000.0,107
27,0.02,187000.0,187
26,0.02,161000.0,161
29,0.02,240000.0,240
28,0.02,214000.0,214
30,0.02,267000.0,267
1,0.04,47000.0,47
2,0.04,88000.0,88
3,0.04,165000.0,165
4,0.04,183000.0,183
5,0.04,199000.0,199
6,0.04,216000.0,216
7,0.04,220000.0,220
8,0.04,262000.0,262
9,0.04,286000.0,286
10,0.04,311000.0,311
11,0.04,28000.0,28
12,0.04,37000.0,37
13,0.04,65000.0,65
14,0.04,92000.0,92
15,0.04,159000.0,159
17,0.04,179000.0,179
16,0.04,160000.0,160
19,0.04,191000.0,191
18,0.04,170000.0,170
21,0.04,296000.0,296
20,0.04,199000.0,199
23,0.04,296000.0,296
22,0.04,296000.0,296
25,0.04,295000.0,295
24,0.04,295000.0,295
27,0.04,382000.0,382
26,0.04,328000.0,328
29,0.04,492000.0,492
28,0.04,437000.0,437
30,0.04,546000.0,546
1,0.06,67000.0,67
2,0.06,164000.0,164
3,0.06,190000.0,190
4,0.06,203000.0,203
5,0.06,258000.0,258
6,0.06,298000.0,298
7,0.06,314000.0,314
8,0.06,362000.0,362
9,0.06,380000.0,380
10,0.06,407000.0,407
11,0.06,37000.0,37
12,0.06,55000.0,55
13,0.06,94000.0,94
14,0.06,165000.0,165
15,0.06,183000.0,183
17,0.06,199000.0,199
16,0.06,190000.0,190
19,0.06,231000.0,231
18,0.06,199000.0,199
21,0.06,543000.0,543
20,0.06,264000.0,264
23,0.06,543000.0,543
22,0.06,543000.0,543
25,0.06,542000.0,542
24,0.06,542000.0,542
27,0.06,590000.0,590
26,0.06,542000.0,542
29,0.06,758000.0,758
28,0.06,674000.0,674
30,0.06,842000.0,842
1,0.08,82000.0,82
2,0.08,187000.0,187
3,0.08,203000.0,203
4,0.08,282000.0,282
5,0.08,315000.0,315
6,0.08,358000.0,358
7,0.08,383000.0,383
8,0.08,447000.0,447
9,0.08,462000.0,462
10,0.08,522000.0,522
11,0.08,48000.0,48
12,0.08,75000.0,75
13,0.08,161000.0,161
14,0.08,181000.0,181
15,0.08,199000.0,199
17,0.08,258000.0,258
16,0.08,199000.0,199
19,0.08,284000.0,284
18,0.08,258000.0,258
21,0.08,788000.0,788
20,0.08,315000.0,315
23,0.08,788000.0,788
22,0.08,788000.0,788
25,0.08,788000.0,788
24,0.08,788000.0,788
27,0.08,801000.0,801
26,0.08,788000.0,788
29,0.08,1030000.0,1030
28,0.08,916000.0,916
30,0.08,1144000.0,1144
1,0.1,151000.0,151
2,0.1,199000.0,199
3,0.1,258000.0,258
4,0.1,329000.0,329
5,0.1,372000.0,372
6,0.1,416000.0,416
7,0.1,448000.0,448
8,0.1,532000.0,532
9,0.1,552000.0,552
10,0.1,608000.0,608
11,0.1,53000.0,53
12,0.1,94000.0,94
13,0.1,177000.0,177
14,0.1,199000.0,199
15,0.1,218000.0,218
17,0.1,292000.0,292
16,0.1,249000.0,249
19,0.1,337000.0,337
18,0.1,303000.0,303
21,0.1,1033000.0,1033
20,0.1,368000.0,368
23,0.1,1032000.0,1032
22,0.1,1032000.0,1032
25,0.1,1032000.0,1032
24,0.1,1032000.0,1032
27,0.1,1032000.0,1032
26,0.1,1032000.0,1032
29,0.1,1306000.0,1306
28,0.1,1161000.0,1161
30,0.1,1450000.0,1450
1,0.12000000000000001,160000.0,160
2,0.12000000000000001,204000.0,204
3,0.12000000000000001,288000.0,288
4,0.12000000000000001,373000.0,373
5,0.12000000000000001,426000.0,426
6,0.12000000000000001,491000.0,491
7,0.12000000000000001,524000.0,524
8,0.12000000000000001,615000.0,615
9,0.12000000000000001,644000.0,644
10,0.12000000000000001,717000.0,717
11,0.12000000000000001,73000.0,73
12,0.12000000000000001,157000.0,157
13,0.12000000000000001,192000.0,192
14,0.12000000000000001,199000.0,199
15,0.12000000000000001,256000.0,256
17,0.12000000000000001,326000.0,326
16,0.12000000000000001,277000.0,277
19,0.12000000000000001,387000.0,387
18,0.12000000000000001,343000.0,343
21,0.12000000000000001,1275000.0,1275
20,0.12000000000000001,418000.0,418
23,0.12000000000000001,1275000.0,1275
22,0.12000000000000001,1275000.0,1275
25,0.12000000000000001,1275000.0,1275
24,0.12000000000000001,1275000.0,1275
27,0.12000000000000001,1275000.0,1275
26,0.12000000000000001,1274000.0,1274
29,0.12000000000000001,1588000.0,1588
28,0.12000000000000001,1411000.0,1411
30,0.12000000000000001,1764000.0,1764
1,0.14,176000.0,176
2,0.14,251000.0,251
3,0.14,317000.0,317
4,0.14,426000.0,426
5,0.14,487000.0,487
6,0.14,541000.0,541
7,0.14,594000.0,594
8,0.14,711000.0,711
9,0.14,742000.0,742
10,0.14,820000.0,820
11,0.14,87000.0,87
12,0.14,162000.0,162
13,0.14,199000.0,199
14,0.14,225000.0,225
15,0.14,282000.0,282
17,0.14,363000.0,363
16,0.14,311000.0,311
19,0.14,438000.0,438
18,0.14,387000.0,387
21,0.14,1515000.0,1515
20,0.14,476000.0,476
23,0.14,1515000.0,1515
22,0.14,1515000.0,1515
25,0.14,1515000.0,1515
24,0.14,1515000.0,1515
27,0.14,1514000.0,1514
26,0.14,1514000.0,1514
29,0.14,1873000.0,1873
28,0.14,1665000.0,1665
30,0.14,2080000.0,2080
1,0.16,185000.0,185
2,0.16,273000.0,273
3,0.16,357000.0,357
4,0.16,470000.0,470
5,0.16,540000.0,540
6,0.16,605000.0,605
7,0.16,660000.0,660
8,0.16,798000.0,798
9,0.16,835000.0,835
10,0.16,937000.0,937
11,0.16,97000.0,97
12,0.16,169000.0,169
13,0.16,206000.0,206
14,0.16,261000.0,261
15,0.16,305000.0,305
17,0.16,395000.0,395
16,0.16,348000.0,348
19,0.16,495000.0,495
18,0.16,434000.0,434
21,0.16,1760000.0,1760
20,0.16,526000.0,526
23,0.16,1759000.0,1759
22,0.16,1759000.0,1759
25,0.16,1759000.0,1759
24,0.16,1759000.0,1759
27,0.16,1759000.0,1759
26,0.16,1759000.0,1759
29,0.16,2155000.0,2155
28,0.16,1916000.0,1916
30,0.16,2394000.0,2394
1,0.18,196000.0,196
2,0.18,297000.0,297
3,0.18,388000.0,388
4,0.18,508000.0,508
5,0.18,583000.0,583
6,0.18,663000.0,663
7,0.18,740000.0,740
8,0.18,890000.0,890
9,0.18,923000.0,923
10,0.18,1030000.0,1030
11,0.18,153000.0,153
12,0.18,182000.0,182
13,0.18,236000.0,236
14,0.18,281000.0,281
15,0.18,333000.0,333
17,0.18,430000.0,430
16,0.18,382000.0,382
19,0.18,546000.0,546
18,0.18,472000.0,472
21,0.18,2003000.0,2003
20,0.18,584000.0,584
23,0.18,2003000.0,2003
22,0.18,2003000.0,2003
25,0.18,2002000.0,2002
24,0.18,2002000.0,2002
27,0.18,2002000.0,2002
26,0.18,2002000.0,2002
29,0.18,2433000.0,2433
28,0.18,2163000.0,2163
30,0.18,2704000.0,2704
1,0.19999999999999998,199000.0,199
2,0.19999999999999998,322000.0,322
3,0.19999999999999998,412000.0,412
4,0.19999999999999998,554000.0,554
5,0.19999999999999998,624000.0,624
6,0.19999999999999998,725000.0,725
7,0.19999999999999998,811000.0,811
8,0.19999999999999998,964000.0,964
9,0.19999999999999998,1023000.0,1023
10,0.19999999999999998,1126000.0,1126
11,0.19999999999999998,157000.0,157
12,0.19999999999999998,193000.0,193
13,0.19999999999999998,259000.0,259
14,0.19999999999999998,300000.0,300
15,0.19999999999999998,357000.0,357
17,0.19999999999999998,470000.0,470
16,0.19999999999999998,415000.0,415
19,0.19999999999999998,587000.0,587
18,0.19999999999999998,512000.0,512
21,0.19999999999999998,2259000.0,2259
20,0.19999999999999998,636000.0,636
23,0.19999999999999998,2259000.0,2259
22,0.19999999999999998,2258000.0,2258
25,0.19999999999999998,2258000.0,2258
24,0.19999999999999998,2258000.0,2258
27,0.19999999999999998,2258000.0,2258
26,0.19999999999999998,2258000.0,2258
29,0.19999999999999998,2713000.0,2713
28,0.19999999999999998,2412000.0,2412
30,0.19999999999999998,3014000.0,3014
1,0.21999999999999997,199000.0,199
2,0.21999999999999997,341000.0,341
3,0.21999999999999997,443000.0,443
4,0.21999999999999997,597000.0,597
5,0.21999999999999997,673000.0,673
6,0.21999999999999997,782000.0,782
7,0.21999999999999997,896000.0,896
8,0.21999999999999997,1039000.0,1039
9,0.21999999999999997,1113000.0,1113
10,0.21999999999999997,1240000.0,1240
11,0.21999999999999997,160000.0,160
12,0.21999999999999997,199000.0,199
13,0.21999999999999997,273000.0,273
14,0.21999999999999997,327000.0,327
15,0.21999999999999997,387000.0,387
17,0.21999999999999997,520000.0,520
16,0.21999999999999997,445000.0,445
19,0.21999999999999997,632000.0,632
18,0.21999999999999997,551000.0,551
21,0.21999999999999997,2512000.0,2512
20,0.21999999999999997,683000.0,683
23,0.21999999999999997,2511000.0,2511
22,0.21999999999999997,2511000.0,2511
25,0.21999999999999997,2511000.0,2511
24,0.21999999999999997,2511000.0,2511
27,0.21999999999999997,2511000.0,2511
26,0.21999999999999997,2511000.0,2511
29,0.21999999999999997,2992000.0,2992
28,0.21999999999999997,2659000.0,2659
30,0.21999999999999997,3324000.0,3324
1,0.23999999999999996,201000.0,201
2,0.23999999999999996,367000.0,367
3,0.23999999999999996,472000.0,472
4,0.23999999999999996,646000.0,646
5,0.23999999999999996,716000.0,716
6,0.23999999999999996,847000.0,847
7,0.23999999999999996,970000.0,970
8,0.23999999999999996,1129000.0,1129
9,0.23999999999999996,1206000.0,1206
10,0.23999999999999996,1333000.0,1333
11,0.23999999999999996,168000.0,168
12,0.23999999999999996,199000.0,199
13,0.23999999999999996,293000.0,293
14,0.23999999999999996,349000.0,349
15,0.23999999999999996,408000.0,408
17,0.23999999999999996,560000.0,560
16,0.23999999999999996,478000.0,478
19,0.23999999999999996,682000.0,682
18,0.23999999999999996,593000.0,593
21,0.23999999999999996,2763000.0,2763
20,0.23999999999999996,742000.0,742
23,0.23999999999999996,2763000.0,2763
22,0.23999999999999996,2763000.0,2763
25,0.23999999999999996,2763000.0,2763
24,0.23999999999999996,2763000.0,2763
27,0.23999999999999996,2763000.0,2763
26,0.23999999999999996,2763000.0,2763
29,0.23999999999999996,3271000.0,3271
28,0.23999999999999996,2907000.0,2907
30,0.23999999999999996,3634000.0,3634
1,0.25999999999999995,223000.0,223
2,0.25999999999999995,391000.0,391
3,0.25999999999999995,501000.0,501
4,0.25999999999999995,686000.0,686
5,0.25999999999999995,779000.0,779
6,0.25999999999999995,911000.0,911
7,0.25999999999999995,1041000.0,1041
8,0.25999999999999995,1196000.0,1196
9,0.25999999999999995,1300000.0,1300
10,0.25999999999999995,1422000.0,1422
11,0.25999999999999995,172000.0,172
12,0.25999999999999995,199000.0,199
13,0.25999999999999995,311000.0,311
14,0.25999999999999995,373000.0,373
15,0.25999999999999995,433000.0,433
17,0.25999999999999995,604000.0,604
16,0.25999999999999995,509000.0,509
19,0.25999999999999995,726000.0,726
18,0.25999999999999995,638000.0,638
21,0.25999999999999995,3017000.0,3017
20,0.25999999999999995,789000.0,789
23,0.25999999999999995,3017000.0,3017
22,0.25999999999999995,3017000.0,3017
25,0.25999999999999995,3017000.0,3017
24,0.25999999999999995,3017000.0,3017
27,0.25999999999999995,3017000.0,3017
26,0.25999999999999995,3016000.0,3016
29,0.25999999999999995,3550000.0,3550
28,0.25999999999999995,3155000.0,3155
30,0.25999999999999995,3944000.0,3944
1,0.27999999999999997,223000.0,223
2,0.27999999999999997,391000.0,391
3,0.27999999999999997,501000.0,501
4,0.27999999999999997,686000.0,686
5,0.27999999999999997,779000.0,779
6,0.27999999999999997,911000.0,911
7,0.27999999999999997,1041000.0,1041
8,0.27999999999999997,1196000.0,1196
9,0.27999999999999997,1300000.0,1300
10,0.27999999999999997,1422000.0,1422
11,0.27999999999999997,172000.0,172
12,0.27999999999999997,199000.0,199
13,0.27999999999999997,311000.0,311
14,0.27999999999999997,373000.0,373
15,0.27999999999999997,433000.0,433
17,0.27999999999999997,604000.0,604
16,0.27999999999999997,509000.0,509
19,0.27999999999999997,726000.0,726
18,0.27999999999999997,638000.0,638
21,0.27999999999999997,3017000.0,3017
20,0.27999999999999997,789000.0,789
23,0.27999999999999997,3017000.0,3017
22,0.27999999999999997,3017000.0,3017
25,0.27999999999999997,3017000.0,3017
24,0.27999999999999997,3017000.0,3017
27,0.27999999999999997,3017000.0,3017
26,0.27999999999999997,3017000.0,3017
29,0.27999999999999997,3550000.0,3550
28,0.27999999999999997,3155000.0,3155
30,0.27999999999999997,3944000.0,3944
