flowId,currentTime,minimumBandwidth,allocatedBandwidth
1,5.7798457419266924E-5,1048.576,0.0
2,5.7798457419266924E-5,2097.152,0.0
3,5.7798457419266924E-5,3145.728,0.0
4,5.7798457419266924E-5,4194.304,0.0
5,5.7798457419266924E-5,5242.88,0.0
6,5.7798457419266924E-5,6291.456,0.0
7,5.7798457419266924E-5,7340.032,0.0
8,5.7798457419266924E-5,8388.608,0.0
9,5.7798457419266924E-5,9437.184,0.0
10,5.7798457419266924E-5,10485.76,0.0
11,5.7798457419266924E-5,1048.576,17301.492
12,5.7798457419266924E-5,2097.152,17301.492
13,5.7798457419266924E-5,3145.728,17301.492
14,5.7798457419266924E-5,4194.304,17301.492
15,5.7798457419266924E-5,5242.88,17301.492
17,5.7798457419266924E-5,7340.032,17301.492
16,5.7798457419266924E-5,6291.456,17301.492
19,5.7798457419266924E-5,9437.184,17301.492
18,5.7798457419266924E-5,8388.608,17301.492
20,5.7798457419266924E-5,10485.76,17301.492
1,7.40587929612957E-5,1048.576,0.0
2,7.40587929612957E-5,2097.152,0.0
3,7.40587929612957E-5,3145.728,0.0
4,7.40587929612957E-5,4194.304,0.0
5,7.40587929612957E-5,5242.88,0.0
6,7.40587929612957E-5,6291.456,0.0
7,7.40587929612957E-5,7340.032,0.0
8,7.40587929612957E-5,8388.608,0.0
9,7.40587929612957E-5,9437.184,0.0
10,7.40587929612957E-5,10485.76,15728.627
11,7.40587929612957E-5,1048.576,15728.627
12,7.40587929612957E-5,2097.152,15728.627
13,7.40587929612957E-5,3145.728,15728.627
14,7.40587929612957E-5,4194.304,15728.627
15,7.40587929612957E-5,5242.88,15728.627
17,7.40587929612957E-5,7340.032,15728.627
16,7.40587929612957E-5,6291.456,15728.627
19,7.40587929612957E-5,9437.184,15728.627
18,7.40587929612957E-5,8388.608,15728.627
20,7.40587929612957E-5,10485.76,15728.627
1,8.23715454316698E-5,1048.576,0.0
2,8.23715454316698E-5,2097.152,0.0
3,8.23715454316698E-5,3145.728,0.0
4,8.23715454316698E-5,4194.304,0.0
5,8.23715454316698E-5,5242.88,0.0
6,8.23715454316698E-5,6291.456,0.0
7,8.23715454316698E-5,7340.032,0.0
8,8.23715454316698E-5,8388.608,0.0
9,8.23715454316698E-5,9437.184,14417.911
10,8.23715454316698E-5,10485.76,14417.911
11,8.23715454316698E-5,1048.576,14417.911
12,8.23715454316698E-5,2097.152,14417.911
13,8.23715454316698E-5,3145.728,14417.911
14,8.23715454316698E-5,4194.304,14417.911
15,8.23715454316698E-5,5242.88,14417.911
17,8.23715454316698E-5,7340.032,14417.911
16,8.23715454316698E-5,6291.456,14417.911
19,8.23715454316698E-5,9437.184,14417.911
18,8.23715454316698E-5,8388.608,14417.911
20,8.23715454316698E-5,10485.76,14417.911
1,9.263648098567501E-5,1048.576,0.0
2,9.263648098567501E-5,2097.152,0.0
3,9.263648098567501E-5,3145.728,0.0
4,9.263648098567501E-5,4194.304,0.0
5,9.263648098567501E-5,5242.88,0.0
6,9.263648098567501E-5,6291.456,0.0
7,9.263648098567501E-5,7340.032,0.0
8,9.263648098567501E-5,8388.608,13308.841
9,9.263648098567501E-5,9437.184,13308.841
10,9.263648098567501E-5,10485.76,13308.841
11,9.263648098567501E-5,1048.576,13308.841
12,9.263648098567501E-5,2097.152,13308.841
13,9.263648098567501E-5,3145.728,13308.841
14,9.263648098567501E-5,4194.304,13308.841
15,9.263648098567501E-5,5242.88,13308.841
17,9.263648098567501E-5,7340.032,13308.841
16,9.263648098567501E-5,6291.456,13308.841
19,9.263648098567501E-5,9437.184,13308.841
18,9.263648098567501E-5,8388.608,13308.841
20,9.263648098567501E-5,10485.76,13308.841
1,1.0569032019702718E-4,1048.576,0.0
2,1.0569032019702718E-4,2097.152,0.0
3,1.0569032019702718E-4,3145.728,0.0
4,1.0569032019702718E-4,4194.304,0.0
5,1.0569032019702718E-4,5242.88,0.0
6,1.0569032019702718E-4,6291.456,0.0
7,1.0569032019702718E-4,7340.032,12358.211
8,1.0569032019702718E-4,8388.608,12358.211
9,1.0569032019702718E-4,9437.184,12358.211
10,1.0569032019702718E-4,10485.76,12358.211
11,1.0569032019702718E-4,1048.576,12358.211
12,1.0569032019702718E-4,2097.152,12358.211
