flowId,currentTime,minimumBandwidth,allocatedBandwidth
1,0.0,1048.576,1572.8638
2,0.0,2097.152,3145.7275
3,0.0,3145.728,4718.5913
4,0.0,4194.304,6291.455
5,0.0,5242.88,7864.3184
6,0.0,6291.456,9437.183
7,0.0,7340.032,11010.047
8,0.0,8388.608,12582.91
9,0.0,9437.184,14155.773
10,0.0,10485.76,15728.637
11,0.0,1048.576,1572.8638
12,0.0,2097.152,3145.7275
13,0.0,3145.728,4718.5913
14,0.0,4194.304,6291.455
15,0.0,5242.88,7864.3184
17,0.0,7340.032,11010.047
16,0.0,6291.456,9437.183
19,0.0,9437.184,14155.773
18,0.0,8388.608,12582.91
20,0.0,10485.76,15728.637
1,6.935814599273726E-5,1048.576,1730.1501
2,6.935814599273726E-5,2097.152,3460.3003
3,6.935814599273726E-5,3145.728,5190.4497
4,6.935814599273726E-5,4194.304,6920.6006
5,6.935814599273726E-5,5242.88,8650.749
6,6.935814599273726E-5,6291.456,10380.899
7,6.935814599273726E-5,7340.032,12111.05
8,6.935814599273726E-5,8388.608,13841.201
9,6.935814599273726E-5,9437.184,15571.35
10,6.935814599273726E-5,10485.76,0.0
11,6.935814599273726E-5,1048.576,1730.1501
12,6.935814599273726E-5,2097.152,3460.3003
13,6.935814599273726E-5,3145.728,5190.4497
14,6.935814599273726E-5,4194.304,6920.6006
15,6.935814599273726E-5,5242.88,8650.749
17,6.935814599273726E-5,7340.032,12111.05
16,6.935814599273726E-5,6291.456,10380.899
19,6.935814599273726E-5,9437.184,15571.35
18,6.935814599273726E-5,8388.608,13841.201
20,6.935814599273726E-5,10485.76,17301.498
1,8.091783820418641E-5,1048.576,2084.5183
2,8.091783820418641E-5,2097.152,4169.0366
3,8.091783820418641E-5,3145.728,6253.5547
4,8.091783820418641E-5,4194.304,8338.073
5,8.091783820418641E-5,5242.88,10422.591
6,8.091783820418641E-5,6291.456,12507.109
7,8.091783820418641E-5,7340.032,14591.627
8,8.091783820418641E-5,8388.608,0.0
9,8.091783820418641E-5,9437.184,0.0
10,8.091783820418641E-5,10485.76,0.0
11,8.091783820418641E-5,1048.576,2084.5183
12,8.091783820418641E-5,2097.152,4169.0366
13,8.091783820418641E-5,3145.728,6253.5547
14,8.091783820418641E-5,4194.304,8338.073
15,8.091783820418641E-5,5242.88,10422.591
17,8.091783820418641E-5,7340.032,14591.627
16,8.091783820418641E-5,6291.456,12507.109
19,8.091783820418641E-5,9437.184,18760.662
18,8.091783820418641E-5,8388.608,16676.146
20,8.091783820418641E-5,10485.76,20845.182
1,9.247753041563556E-5,1048.576,2276.5134
2,9.247753041563556E-5,2097.152,4553.027
3,9.247753041563556E-5,3145.728,6829.54
4,9.247753041563556E-5,4194.304,9106.054
5,9.247753041563556E-5,5242.88,11382.566
6,9.247753041563556E-5,6291.456,13659.08
7,9.247753041563556E-5,7340.032,0.0
8,9.247753041563556E-5,8388.608,0.0
9,9.247753041563556E-5,9437.184,0.0
10,9.247753041563556E-5,10485.76,0.0
11,9.247753041563556E-5,1048.576,2276.5134
12,9.247753041563556E-5,2097.152,4553.027
13,9.247753041563556E-5,3145.728,6829.54
14,9.247753041563556E-5,4194.304,9106.054
15,9.247753041563556E-5,5242.88,11382.566
17,9.247753041563556E-5,7340.032,15935.593
16,9.247753041563556E-5,6291.456,13659.08
19,9.247753041563556E-5,9437.184,20488.617
18,9.247753041563556E-5,8388.608,18212.107
20,9.247753041563556E-5,10485.76,22765.133
1,1.040372226270847E-4,1048.576,2471.643
2,1.040372226270847E-4,2097.152,4943.286
3,1.040372226270847E-4,3145.728,7414.9287
4,1.040372226270847E-4,4194.304,9886.572
5,1.040372226270847E-4,5242.88,12358.214
6,1.040372226270847E-4,6291.456,0.0
7,1.040372226270847E-4,7340.032,0.0
8,1.040372226270847E-4,8388.608,0.0
9,1.040372226270847E-4,9437.184,0.0
10,1.040372226270847E-4,10485.76,0.0
11,1.040372226270847E-4,1048.576,2471.643
12,1.040372226270847E-4,2097.152,4943.286
13,1.040372226270847E-4,3145.728,7414.9287
14,1.040372226270847E-4,4194.304,9886.572
15,1.040372226270847E-4,5242.88,12358.214
17,1.040372226270847E-4,7340.032,17301.5
16,1.040372226270847E-4,6291.456,14829.857
19,1.040372226270847E-4,9437.184,22244.785
18,1.040372226270847E-4,8388.608,19773.145
20,1.040372226270847E-4,10485.76,24716.428
1,1.1559691483853385E-4,1048.576,2661.769
2,1.1559691483853385E-4,2097.152,5323.538
3,1.1559691483853385E-4,3145.728,7985.307
4,1.1559691483853385E-4,4194.304,10647.076
5,1.1559691483853385E-4,5242.88,0.0
6,1.1559691483853385E-4,6291.456,0.0
7,1.1559691483853385E-4,7340.032,0.0
8,1.1559691483853385E-4,8388.608,0.0
9,1.1559691483853385E-4,9437.184,0.0
10,1.1559691483853385E-4,10485.76,0.0
11,1.1559691483853385E-4,1048.576,2661.769
12,1.1559691483853385E-4,2097.152,5323.538
13,1.1559691483853385E-4,3145.728,7985.307
14,1.1559691483853385E-4,4194.304,10647.076
15,1.1559691483853385E-4,5242.88,13308.846
17,1.1559691483853385E-4,7340.032,18632.383
16,1.1559691483853385E-4,6291.456,15970.614
19,1.1559691483853385E-4,9437.184,23955.92
18,1.1559691483853385E-4,8388.608,21294.152
20,1.1559691483853385E-4,10485.76,26617.691
1,1.3871629198547453E-4,1048.576,2836.3113
2,1.3871629198547453E-4,2097.152,5672.6226
3,1.3871629198547453E-4,3145.728,8508.934
4,1.3871629198547453E-4,4194.304,0.0
5,1.3871629198547453E-4,5242.88,0.0
6,1.3871629198547453E-4,6291.456,0.0
7,1.3871629198547453E-4,7340.032,0.0
8,1.3871629198547453E-4,8388.608,0.0
9,1.3871629198547453E-4,9437.184,0.0
10,1.3871629198547453E-4,10485.76,0.0
11,1.3871629198547453E-4,1048.576,2836.3113
12,1.3871629198547453E-4,2097.152,5672.6226
13,1.3871629198547453E-4,3145.728,8508.934
14,1.3871629198547453E-4,4194.304,11345.245
15,1.3871629198547453E-4,5242.88,14181.556
17,1.3871629198547453E-4,7340.032,19854.18
16,1.3871629198547453E-4,6291.456,17017.867
19,1.3871629198547453E-4,9437.184,25526.8
18,1.3871629198547453E-4,8388.608,22690.49
20,1.3871629198547453E-4,10485.76,28363.111
1,1.6183567640837282E-4,1048.576,2983.0176
2,1.6183567640837282E-4,2097.152,5966.035
3,1.6183567640837282E-4,3145.728,0.0
4,1.6183567640837282E-4,4194.304,0.0
5,1.6183567640837282E-4,5242.88,0.0
6,1.6183567640837282E-4,6291.456,0.0
7,1.6183567640837282E-4,7340.032,0.0
8,1.6183567640837282E-4,8388.608,0.0
9,1.6183567640837282E-4,9437.184,0.0
10,1.6183567640837282E-4,10485.76,0.0
11,1.6183567640837282E-4,1048.576,2983.0176
12,1.6183567640837282E-4,2097.152,5966.035
13,1.6183567640837282E-4,3145.728,8949.052
14,1.6183567640837282E-4,4194.304,11932.07
15,1.6183567640837282E-4,5242.88,14915.087
17,1.6183567640837282E-4,7340.032,20881.121
16,1.6183567640837282E-4,6291.456,17898.104
19,1.6183567640837282E-4,9437.184,26847.154
18,1.6183567640837282E-4,8388.608,23864.14
20,1.6183567640837282E-4,10485.76,29830.174
1,1.9073486328125E-4,1048.576,2544.3381
2,1.9073486328125E-4,2097.152,5088.6763
3,1.9073486328125E-4,3145.728,0.0
4,1.9073486328125E-4,4194.304,0.0
5,1.9073486328125E-4,5242.88,0.0
6,1.9073486328125E-4,6291.456,0.0
7,1.9073486328125E-4,7340.032,0.0
8,1.9073486328125E-4,8388.608,0.0
9,1.9073486328125E-4,9437.184,0.0
10,1.9073486328125E-4,10485.76,25443.38
11,1.9073486328125E-4,1048.576,2544.3381
12,1.9073486328125E-4,2097.152,5088.6763
13,1.9073486328125E-4,3145.728,7633.014
14,1.9073486328125E-4,4194.304,10177.353
15,1.9073486328125E-4,5242.88,12721.69
17,1.9073486328125E-4,7340.032,17810.367
16,1.9073486328125E-4,6291.456,15266.028
19,1.9073486328125E-4,9437.184,22899.043
18,1.9073486328125E-4,8388.608,20354.705
20,1.9073486328125E-4,10485.76,25443.38
1,2.1192763233557343E-4,1048.576,2246.9482
2,2.1192763233557343E-4,2097.152,4493.8965
3,2.1192763233557343E-4,3145.728,0.0
4,2.1192763233557343E-4,4194.304,0.0
5,2.1192763233557343E-4,5242.88,0.0
6,2.1192763233557343E-4,6291.456,0.0
7,2.1192763233557343E-4,7340.032,0.0
8,2.1192763233557343E-4,8388.608,0.0
9,2.1192763233557343E-4,9437.184,20222.531
10,2.1192763233557343E-4,10485.76,22469.48
11,2.1192763233557343E-4,1048.576,2246.9482
12,2.1192763233557343E-4,2097.152,4493.8965
13,2.1192763233557343E-4,3145.728,6740.8438
14,2.1192763233557343E-4,4194.304,8987.793
15,2.1192763233557343E-4,5242.88,11234.74
17,2.1192763233557343E-4,7340.032,15728.637
16,2.1192763233557343E-4,6291.456,13481.6875
19,2.1192763233557343E-4,9437.184,20222.531
18,2.1192763233557343E-4,8388.608,17975.586
20,2.1192763233557343E-4,10485.76,22469.48
1,2.311938296770677E-4,1048.576,2306.867
2,2.311938296770677E-4,2097.152,0.0
3,2.311938296770677E-4,3145.728,0.0
4,2.311938296770677E-4,4194.304,0.0
5,2.311938296770677E-4,5242.88,0.0
6,2.311938296770677E-4,6291.456,0.0
7,2.311938296770677E-4,7340.032,0.0
8,2.311938296770677E-4,8388.608,0.0
9,2.311938296770677E-4,9437.184,20761.8
10,2.311938296770677E-4,10485.76,23068.668
11,2.311938296770677E-4,1048.576,2306.867
12,2.311938296770677E-4,2097.152,4613.734
13,2.311938296770677E-4,3145.728,6920.6006
14,2.311938296770677E-4,4194.304,9227.468
15,2.311938296770677E-4,5242.88,11534.334
17,2.311938296770677E-4,7340.032,16148.068
16,2.311938296770677E-4,6291.456,13841.201
19,2.311938296770677E-4,9437.184,20761.8
18,2.311938296770677E-4,8388.608,18454.936
20,2.311938296770677E-4,10485.76,23068.668
1,2.3841856454964727E-4,1048.576,2370.0686
2,2.3841856454964727E-4,2097.152,0.0
3,2.3841856454964727E-4,3145.728,0.0
4,2.3841856454964727E-4,4194.304,0.0
5,2.3841856454964727E-4,5242.88,0.0
6,2.3841856454964727E-4,6291.456,0.0
7,2.3841856454964727E-4,7340.032,0.0
8,2.3841856454964727E-4,8388.608,18960.549
9,2.3841856454964727E-4,9437.184,21330.617
10,2.3841856454964727E-4,10485.76,0.0
11,2.3841856454964727E-4,1048.576,2370.0686
12,2.3841856454964727E-4,2097.152,4740.137
13,2.3841856454964727E-4,3145.728,7110.2056
14,2.3841856454964727E-4,4194.304,9480.274
15,2.3841856454964727E-4,5242.88,11850.343
17,2.3841856454964727E-4,7340.032,16590.48
16,2.3841856454964727E-4,6291.456,14220.411
19,2.3841856454964727E-4,9437.184,21330.617
18,2.3841856454964727E-4,8388.608,18960.549
20,2.3841856454964727E-4,10485.76,23700.686
1,2.658728917594999E-4,1048.576,2703.3594
2,2.658728917594999E-4,2097.152,0.0
3,2.658728917594999E-4,3145.728,0.0
4,2.658728917594999E-4,4194.304,0.0
5,2.658728917594999E-4,5242.88,0.0
6,2.658728917594999E-4,6291.456,0.0
7,2.658728917594999E-4,7340.032,0.0
8,2.658728917594999E-4,8388.608,21626.875
9,2.658728917594999E-4,9437.184,0.0
10,2.658728917594999E-4,10485.76,0.0
11,2.658728917594999E-4,1048.576,2703.3594
12,2.658728917594999E-4,2097.152,5406.7188
13,2.658728917594999E-4,3145.728,8110.078
14,2.658728917594999E-4,4194.304,10813.4375
15,2.658728917594999E-4,5242.88,13516.796
17,2.658728917594999E-4,7340.032,18923.516
16,2.658728917594999E-4,6291.456,16220.156
19,2.658728917594999E-4,9437.184,24330.232
18,2.658728917594999E-4,8388.608,21626.875
20,2.658728917594999E-4,10485.76,27033.592
1,2.724783553276211E-4,1048.576,2436.831
2,2.724783553276211E-4,2097.152,0.0
3,2.724783553276211E-4,3145.728,0.0
4,2.724783553276211E-4,4194.304,0.0
5,2.724783553276211E-4,5242.88,0.0
6,2.724783553276211E-4,6291.456,0.0
7,2.724783553276211E-4,7340.032,17057.816
8,2.724783553276211E-4,8388.608,19494.648
9,2.724783553276211E-4,9437.184,0.0
10,2.724783553276211E-4,10485.76,0.0
11,2.724783553276211E-4,1048.576,2436.831
12,2.724783553276211E-4,2097.152,4873.662
13,2.724783553276211E-4,3145.728,7310.4927
14,2.724783553276211E-4,4194.304,9747.324
15,2.724783553276211E-4,5242.88,12184.154
17,2.724783553276211E-4,7340.032,17057.816
16,2.724783553276211E-4,6291.456,14620.985
