flowId,timestamp,totalData,totalPackets
1,0.0,0.0,0
2,0.0,0.0,0
3,0.0,0.0,0
4,0.0,0.0,0
5,0.0,0.0,0
6,0.0,0.0,0
7,0.0,0.0,0
8,0.0,0.0,0
9,0.0,0.0,0
10,0.0,0.0,0
11,0.0,0.0,0
12,0.0,0.0,0
13,0.0,0.0,0
14,0.0,0.0,0
15,0.0,0.0,0
17,0.0,0.0,0
16,0.0,0.0,0
19,0.0,0.0,0
18,0.0,0.0,0
20,0.0,0.0,0
1,0.02,11000.0,11
2,0.02,21000.0,21
3,0.02,32000.0,32
4,0.02,42000.0,42
5,0.02,53000.0,53
6,0.02,63000.0,63
7,0.02,74000.0,74
8,0.02,84000.0,84
9,0.02,95000.0,95
10,0.02,105000.0,105
11,0.02,50000.0,50
12,0.02,82000.0,82
13,0.02,129000.0,129
14,0.02,162000.0,162
15,0.02,219000.0,219
17,0.02,328000.0,328
16,0.02,223000.0,223
19,0.02,387000.0,387
18,0.02,330000.0,330
20,0.02,437000.0,437
1,0.04,21000.0,21
2,0.04,42000.0,42
3,0.04,63000.0,63
4,0.04,84000.0,84
5,0.04,105000.0,105
6,0.04,126000.0,126
7,0.04,147000.0,147
8,0.04,168000.0,168
9,0.04,189000.0,189
10,0.04,210000.0,210
11,0.04,101000.0,101
12,0.04,176000.0,176
13,0.04,261000.0,261
14,0.04,360000.0,360
15,0.04,462000.0,462
17,0.04,682000.0,682
16,0.04,502000.0,502
19,0.04,808000.0,808
18,0.04,685000.0,685
20,0.04,917000.0,917
1,0.06,32000.0,32
2,0.06,63000.0,63
3,0.06,95000.0,95
4,0.06,126000.0,126
5,0.06,158000.0,158
6,0.06,189000.0,189
7,0.06,221000.0,221
8,0.06,252000.0,252
9,0.06,284000.0,284
10,0.06,315000.0,315
11,0.06,153000.0,153
12,0.06,275000.0,275
13,0.06,393000.0,393
14,0.06,544000.0,544
15,0.06,712000.0,712
17,0.06,1040000.0,1040
16,0.06,788000.0,788
19,0.06,1267000.0,1267
18,0.06,1075000.0,1075
20,0.06,1426000.0,1426
1,0.08,42000.0,42
2,0.08,84000.0,84
3,0.08,126000.0,126
4,0.08,168000.0,168
5,0.08,210000.0,210
6,0.08,252000.0,252
7,0.08,294000.0,294
8,0.08,336000.0,336
9,0.08,378000.0,378
10,0.08,420000.0,420
11,0.08,204000.0,204
12,0.08,372000.0,372
13,0.08,547000.0,547
14,0.08,739000.0,739
15,0.08,964000.0,964
17,0.08,1401000.0,1401
16,0.08,1078000.0,1078
19,0.08,1715000.0,1715
18,0.08,1444000.0,1444
20,0.08,1929000.0,1929
1,0.1,53000.0,53
2,0.1,105000.0,105
3,0.1,158000.0,158
4,0.1,210000.0,210
5,0.1,263000.0,263
6,0.1,315000.0,315
7,0.1,367000.0,367
8,0.1,420000.0,420
9,0.1,472000.0,472
10,0.1,525000.0,525
11,0.1,255000.0,255
12,0.1,468000.0,468
13,0.1,701000.0,701
14,0.1,921000.0,921
15,0.1,1202000.0,1202
17,0.1,1760000.0,1760
16,0.1,1369000.0,1369
19,0.1,2164000.0,2164
18,0.1,1807000.0,1807
20,0.1,2424000.0,2424
1,0.12000000000000001,63000.0,63
2,0.12000000000000001,126000.0,126
3,0.12000000000000001,189000.0,189
4,0.12000000000000001,252000.0,252
5,0.12000000000000001,315000.0,315
6,0.12000000000000001,378000.0,378
7,0.12000000000000001,441000.0,441
8,0.12000000000000001,504000.0,504
9,0.12000000000000001,567000.0,567
10,0.12000000000000001,630000.0,630
11,0.12000000000000001,307000.0,307
12,0.12000000000000001,571000.0,571
13,0.12000000000000001,850000.0,850
14,0.12000000000000001,1123000.0,1123
15,0.12000000000000001,1459000.0,1459
17,0.12000000000000001,2119000.0,2119
16,0.12000000000000001,1655000.0,1655
19,0.12000000000000001,2612000.0,2612
18,0.12000000000000001,2205000.0,2205
20,0.12000000000000001,2938000.0,2938
1,0.14,63000.0,63
2,0.14,126000.0,126
3,0.14,189000.0,189
4,0.14,252000.0,252
5,0.14,315000.0,315
6,0.14,378000.0,378
7,0.14,441000.0,441
8,0.14,504000.0,504
9,0.14,567000.0,567
10,0.14,630000.0,630
11,0.14,371000.0,371
12,0.14,699000.0,699
13,0.14,1041000.0,1041
14,0.14,1378000.0,1378
15,0.14,1777000.0,1777
17,0.14,2568000.0,2568
16,0.14,2037000.0,2037
19,0.14,3184000.0,3184
18,0.14,2668000.0,2668
20,0.14,3576000.0,3576
1,0.16,63000.0,63
2,0.16,126000.0,126
3,0.16,189000.0,189
4,0.16,252000.0,252
5,0.16,315000.0,315
6,0.16,378000.0,378
7,0.16,441000.0,441
8,0.16,504000.0,504
9,0.16,567000.0,567
10,0.16,630000.0,630
11,0.16,435000.0,435
12,0.16,827000.0,827
13,0.16,1233000.0,1233
14,0.16,1634000.0,1634
15,0.16,2098000.0,2098
17,0.16,3017000.0,3017
16,0.16,2422000.0,2422
19,0.16,3760000.0,3760
18,0.16,3117000.0,3117
20,0.16,4215000.0,4215
1,0.18,63000.0,63
2,0.18,126000.0,126
3,0.18,189000.0,189
4,0.18,252000.0,252
5,0.18,315000.0,315
6,0.18,378000.0,378
7,0.18,441000.0,441
8,0.18,504000.0,504
9,0.18,567000.0,567
10,0.18,630000.0,630
11,0.18,499000.0,499
12,0.18,955000.0,955
13,0.18,1426000.0,1426
14,0.18,1890000.0,1890
15,0.18,2418000.0,2418
17,0.18,3466000.0,3466
16,0.18,2807000.0,2807
19,0.18,4336000.0,4336
18,0.18,3565000.0,3565
20,0.18,4855000.0,4855
1,0.19999999999999998,63000.0,63
2,0.19999999999999998,126000.0,126
3,0.19999999999999998,189000.0,189
4,0.19999999999999998,252000.0,252
5,0.19999999999999998,315000.0,315
6,0.19999999999999998,378000.0,378
7,0.19999999999999998,441000.0,441
8,0.19999999999999998,504000.0,504
9,0.19999999999999998,567000.0,567
10,0.19999999999999998,630000.0,630
11,0.19999999999999998,563000.0,563
12,0.19999999999999998,1083000.0,1083
13,0.19999999999999998,1618000.0,1618
14,0.19999999999999998,2147000.0,2147
15,0.19999999999999998,2739000.0,2739
17,0.19999999999999998,3914000.0,3914
16,0.19999999999999998,3192000.0,3192
19,0.19999999999999998,4911000.0,4911
18,0.19999999999999998,4013000.0,4013
20,0.19999999999999998,5496000.0,5496
1,0.21999999999999997,63000.0,63
2,0.21999999999999997,126000.0,126
3,0.21999999999999997,189000.0,189
4,0.21999999999999997,252000.0,252
5,0.21999999999999997,315000.0,315
6,0.21999999999999997,378000.0,378
7,0.21999999999999997,441000.0,441
8,0.21999999999999997,504000.0,504
9,0.21999999999999997,567000.0,567
10,0.21999999999999997,630000.0,630
11,0.21999999999999997,628000.0,628
12,0.21999999999999997,1212000.0,1212
13,0.21999999999999997,1811000.0,1811
14,0.21999999999999997,2404000.0,2404
15,0.21999999999999997,3059000.0,3059
17,0.21999999999999997,4363000.0,4363
16,0.21999999999999997,3576000.0,3576
19,0.21999999999999997,5486000.0,5486
18,0.21999999999999997,4461000.0,4461
20,0.21999999999999997,6135000.0,6135
1,0.23999999999999996,63000.0,63
2,0.23999999999999996,126000.0,126
3,0.23999999999999996,189000.0,189
4,0.23999999999999996,252000.0,252
5,0.23999999999999996,315000.0,315
6,0.23999999999999996,378000.0,378
7,0.23999999999999996,441000.0,441
8,0.23999999999999996,504000.0,504
9,0.23999999999999996,567000.0,567
10,0.23999999999999996,630000.0,630
11,0.23999999999999996,692000.0,692
12,0.23999999999999996,1340000.0,1340
13,0.23999999999999996,2003000.0,2003
14,0.23999999999999996,2660000.0,2660
15,0.23999999999999996,3380000.0,3380
17,0.23999999999999996,4811000.0,4811
16,0.23999999999999996,3961000.0,3961
19,0.23999999999999996,6063000.0,6063
18,0.23999999999999996,4910000.0,4910
20,0.23999999999999996,6775000.0,6775
1,0.25999999999999995,63000.0,63
2,0.25999999999999995,126000.0,126
3,0.25999999999999995,189000.0,189
4,0.25999999999999995,252000.0,252
5,0.25999999999999995,315000.0,315
6,0.25999999999999995,378000.0,378
7,0.25999999999999995,441000.0,441
8,0.25999999999999995,504000.0,504
9,0.25999999999999995,567000.0,567
10,0.25999999999999995,630000.0,630
11,0.25999999999999995,755000.0,755
12,0.25999999999999995,1467000.0,1467
13,0.25999999999999995,2192000.0,2192
14,0.25999999999999995,2914000.0,2914
15,0.25999999999999995,3697000.0,3697
17,0.25999999999999995,5255000.0,5255
16,0.25999999999999995,4342000.0,4342
19,0.25999999999999995,6631000.0,6631
18,0.25999999999999995,5393000.0,5393
20,0.25999999999999995,7408000.0,7408
1,0.27999999999999997,63000.0,63
2,0.27999999999999997,126000.0,126
3,0.27999999999999997,189000.0,189
4,0.27999999999999997,252000.0,252
5,0.27999999999999997,315000.0,315
6,0.27999999999999997,378000.0,378
7,0.27999999999999997,441000.0,441
8,0.27999999999999997,504000.0,504
9,0.27999999999999997,567000.0,567
10,0.27999999999999997,630000.0,630
11,0.27999999999999997,818000.0,818
12,0.27999999999999997,1593000.0,1593
13,0.27999999999999997,2381000.0,2381
14,0.27999999999999997,3166000.0,3166
15,0.27999999999999997,4012000.0,4012
17,0.27999999999999997,5696000.0,5696
16,0.27999999999999997,4720000.0,4720
19,0.27999999999999997,7195000.0,7195
18,0.27999999999999997,5897000.0,5897
20,0.27999999999999997,8035000.0,8035
1,0.3,63000.0,63
2,0.3,126000.0,126
3,0.3,189000.0,189
4,0.3,252000.0,252
5,0.3,315000.0,315
6,0.3,378000.0,378
7,0.3,441000.0,441
8,0.3,504000.0,504
9,0.3,567000.0,567
10,0.3,630000.0,630
11,0.3,881000.0,881
12,0.3,1719000.0,1719
13,0.3,2570000.0,2570
14,0.3,3418000.0,3418
15,0.3,4327000.0,4327
17,0.3,6137000.0,6137
16,0.3,5098000.0,5098
19,0.3,7761000.0,7761
18,0.3,6399000.0,6399
20,0.3,8662000.0,8662
1,0.32,63000.0,63
2,0.32,126000.0,126
3,0.32,189000.0,189
4,0.32,252000.0,252
5,0.32,315000.0,315
6,0.32,378000.0,378
7,0.32,441000.0,441
8,0.32,504000.0,504
9,0.32,567000.0,567
10,0.32,630000.0,630
11,0.32,944000.0,944
12,0.32,1844000.0,1844
13,0.32,2760000.0,2760
14,0.32,3669000.0,3669
15,0.32,4641000.0,4641
17,0.32,6580000.0,6580
16,0.32,5476000.0,5476
19,0.32,8327000.0,8327
18,0.32,6902000.0,6902
20,0.32,9289000.0,9289
1,0.34,63000.0,63
2,0.34,126000.0,126
3,0.34,189000.0,189
4,0.34,252000.0,252
5,0.34,315000.0,315
6,0.34,378000.0,378
7,0.34,441000.0,441
8,0.34,504000.0,504
9,0.34,567000.0,567
10,0.34,630000.0,630
11,0.34,1007000.0,1007
12,0.34,1970000.0,1970
13,0.34,2949000.0,2949
14,0.34,3921000.0,3921
15,0.34,4957000.0,4957
17,0.34,7020000.0,7020
16,0.34,5854000.0,5854
19,0.34,8892000.0,8892
18,0.34,7404000.0,7404
20,0.34,9917000.0,9917
1,0.36000000000000004,63000.0,63
2,0.36000000000000004,126000.0,126
3,0.36000000000000004,189000.0,189
4,0.36000000000000004,252000.0,252
5,0.36000000000000004,315000.0,315
6,0.36000000000000004,378000.0,378
7,0.36000000000000004,441000.0,441
8,0.36000000000000004,504000.0,504
9,0.36000000000000004,567000.0,567
10,0.36000000000000004,630000.0,630
11,0.36000000000000004,1078000.0,1078
12,0.36000000000000004,2111000.0,2111
13,0.36000000000000004,3160000.0,3160
14,0.36000000000000004,4202000.0,4202
15,0.36000000000000004,5309000.0,5309
17,0.36000000000000004,7513000.0,7513
16,0.36000000000000004,6277000.0,6277
19,0.36000000000000004,9524000.0,9524
18,0.36000000000000004,7965000.0,7965
20,0.36000000000000004,1.0211E7,10211
1,0.38000000000000006,63000.0,63
2,0.38000000000000006,126000.0,126
3,0.38000000000000006,189000.0,189
4,0.38000000000000006,252000.0,252
5,0.38000000000000006,315000.0,315
6,0.38000000000000006,378000.0,378
7,0.38000000000000006,441000.0,441
8,0.38000000000000006,504000.0,504
9,0.38000000000000006,567000.0,567
10,0.38000000000000006,630000.0,630
11,0.38000000000000006,1156000.0,1156
12,0.38000000000000006,2266000.0,2266
13,0.38000000000000006,3393000.0,3393
14,0.38000000000000006,4514000.0,4514
15,0.38000000000000006,5698000.0,5698
17,0.38000000000000006,8057000.0,8057
16,0.38000000000000006,6742000.0,6742
19,0.38000000000000006,1.0186E7,10186
18,0.38000000000000006,8586000.0,8586
20,0.38000000000000006,1.0211E7,10211
1,0.4000000000000001,63000.0,63
2,0.4000000000000001,126000.0,126
3,0.4000000000000001,189000.0,189
4,0.4000000000000001,252000.0,252
5,0.4000000000000001,315000.0,315
6,0.4000000000000001,378000.0,378
7,0.4000000000000001,441000.0,441
8,0.4000000000000001,504000.0,504
9,0.4000000000000001,567000.0,567
10,0.4000000000000001,630000.0,630
11,0.4000000000000001,1252000.0,1252
12,0.4000000000000001,2458000.0,2458
13,0.4000000000000001,3683000.0,3683
14,0.4000000000000001,4898000.0,4898
15,0.4000000000000001,6180000.0,6180
17,0.4000000000000001,8729000.0,8729
16,0.4000000000000001,7318000.0,7318
19,0.4000000000000001,1.0186E7,10186
18,0.4000000000000001,9353000.0,9353
20,0.4000000000000001,1.0211E7,10211
1,0.4200000000000001,63000.0,63
2,0.4200000000000001,126000.0,126
3,0.4200000000000001,189000.0,189
4,0.4200000000000001,252000.0,252
5,0.4200000000000001,315000.0,315
6,0.4200000000000001,378000.0,378
7,0.4200000000000001,441000.0,441
8,0.4200000000000001,504000.0,504
9,0.4200000000000001,567000.0,567
10,0.4200000000000001,630000.0,630
11,0.4200000000000001,1363000.0,1363
12,0.4200000000000001,2681000.0,2681
13,0.4200000000000001,4016000.0,4016
14,0.4200000000000001,5341000.0,5341
15,0.4200000000000001,6736000.0,6736
17,0.4200000000000001,9505000.0,9505
16,0.4200000000000001,7982000.0,7982
19,0.4200000000000001,1.0186E7,10186
18,0.4200000000000001,9707000.0,9707
20,0.4200000000000001,1.0211E7,10211
1,0.4400000000000001,63000.0,63
2,0.4400000000000001,126000.0,126
3,0.4400000000000001,189000.0,189
4,0.4400000000000001,252000.0,252
5,0.4400000000000001,315000.0,315
6,0.4400000000000001,378000.0,378
7,0.4400000000000001,441000.0,441
8,0.4400000000000001,504000.0,504
9,0.4400000000000001,567000.0,567
10,0.4400000000000001,630000.0,630
11,0.4400000000000001,1489000.0,1489
12,0.4400000000000001,2931000.0,2931
13,0.4400000000000001,4393000.0,4393
14,0.4400000000000001,5843000.0,5843
15,0.4400000000000001,7364000.0,7364
